#UniProtKBID	EntrezGeneID	GeneSymbol	DrugBankIDs
P35626	157	ARBK2	DB00171;
P30566	158	PUR8
P30520	159	PURA2	DB00787;DB05540;DB00128;
O95782	160	AP2A1
O94973	161	AP2A2
Q10567	162	AP1B1
P63010	163	AP2B1
O43747	164	AP1G1
Q8IUX7	165	AEBP1
Q08117	166	TLE5
P02771	174	FETA
P20933	175	ASPG
P16112	176	PGCA	DB02255;
Q15109	177	RAGE
P35573	178	GDE
O00253	181	AGRP
P78504	182	JAG1
P01019	183	ANGT	DB09130;DB12548;DB01593;DB14487;DB14533;
P30556	185	AGTR1	DB11842;DB08822;DB13919;DB00796;DB05739;DB00876;DB09279;DB01342;DB01029;DB00678;DB00275;DB01347;DB01349;DB00966;DB00177;
P50052	186	AGTR2	DB05739;DB01349;
P35414	187	APJ
P21549	189	SPYA	DB08060;DB00160;DB02079;DB00145;DB04083;DB00114;DB00133;
P51843	190	NR0B1	DB01234;DB00755;
P23526	191	SAHH	DB03216;DB03273;DB09130;DB03769;DB02325;
P35869	196	AHR	DB08624;DB01076;DB06732;DB12328;DB08995;DB07715;DB12116;DB00499;DB01404;DB11577;DB12379;DB02052;DB11937;DB01097;DB00379;DB00393;DB00338;DB04216;DB02709;
P02765	197	FETUA	DB09130;DB01593;DB14487;DB14533;
P55008	199	AIF1
Q9Y4K1	202	CRBG1
P00568	203	KAD1	DB01717;DB14126;DB09299;
P54819	204	KAD2	DB00718;DB01717;DB03366;DB14126;DB09299;DB00300;
P27144	205	KAD4	DB00718;DB00300;
P31749	207	AKT1	DB07585;DB05971;DB01169;DB00171;DB06486;DB01645;DB01863;DB07584;DB06641;DB02709;
P31751	208	AKT2	DB08073;DB07859;DB07947;DB07812;
P13716	210	HEM2	DB02878;DB04560;DB02260;DB04781;DB00855;DB02068;DB02239;DB02272;
P13196	211	HEM1	DB00145;DB00114;
P22557	212	HEM0	DB00145;DB00114;
P02768	213	ALBU	DB08496;DB07517;DB07992;DB12001;DB05812;DB11703;DB01418;DB01614;DB00316;DB00414;DB09347;DB00459;DB00787;DB00802;DB00404;DB01370;DB14517;DB14518;DB00321;DB00415;DB00276;DB06728;DB04557;DB09229;DB11217;DB00278;DB01238;DB14185;DB09204;DB01169;DB11638;DB06216;DB01072;DB00335;DB00289;DB01076;DB00995;DB07402;DB00245;DB13909;DB01294;DB09223;DB01222;DB00490;DB11148;DB11093;DB11348;DB14481;DB04690;DB03600;DB01197;DB01136;DB00456;DB01327;DB14879;DB00274;DB01328;DB01329;DB00493;DB01330;DB00430;DB01212;DB06119;DB00567;DB00477;DB09093;DB00310;DB00537;DB00515;DB01242;DB01068;DB00575;DB01147;DB01394;DB00286;DB12483;DB09130;DB11134;DB06778;DB00924;DB11963;DB04816;DB12941;DB11943;DB11637;DB01189;DB00304;DB01234;DB09213;DB00829;DB11397;DB00586;DB00266;DB00900;DB00861;DB01396;DB00343;DB01142;DB00997;DB04855;DB00476;DB01126;DB01057;DB13421;DB00625;DB15444;DB00879;DB00584;DB00228;DB08899;DB00530;DB11827;DB00783;DB13952;DB13953;DB13954;DB13955;DB13956;DB00655;DB04574;DB00903;DB00749;DB00294;DB01276;DB01039;DB00573;DB00813;DB00950;DB01195;DB00687;DB00544;DB00472;DB00712;DB01320;DB06716;DB00695;DB00743;DB06705;DB01044;DB00317;DB01241;DB12141;DB11978;DB01120;DB01067;DB01016;DB13751;DB04539;DB12836;DB11575;DB11359;DB01159;DB00070;DB01275;DB00999;DB00327;DB09526;DB01611;DB13014;DB09053;DB01050;DB00159;DB00619;DB09262;DB00458;DB00328;DB09564;DB01307;DB04711;DB09333;DB00332;DB01029;DB00762;DB00753;DB00677;DB00951;DB00982;DB11757;DB08820;DB01587;DB01026;DB01009;DB00598;DB09236;DB00709;DB03017;DB09237;DB06282;DB01235;DB00451;DB00279;DB01583;DB06655;DB09195;DB00678;DB00227;DB09280;DB00137;DB08932;DB14513;DB01397;DB06796;DB00737;DB09124;DB00603;DB00784;DB00454;DB09383;DB00931;DB00333;DB00563;DB00959;DB06710;DB00264;DB08893;DB00295;DB08231;DB00461;DB00607;DB01183;DB00788;DB00731;DB04861;DB00220;DB11828;DB00238;DB09079;DB06713;DB00717;DB00540;DB00334;DB04224;DB00275;DB00768;DB12455;DB11130;DB00776;DB01062;DB00497;DB06412;DB03585;DB09073;DB03796;DB13967;DB14582;DB12978;DB03255;DB00946;DB00252;DB01621;DB00554;DB08860;DB09087;DB09418;DB06209;DB00860;DB15566;DB00635;DB01032;DB09348;DB00818;DB00571;DB06480;DB00545;DB04216;DB00881;DB08735;DB00481;DB00243;DB00912;DB02709;DB11855;DB01045;DB11753;DB08864;DB08931;DB00503;DB11182;DB00412;DB01098;DB06201;DB08736;DB00936;DB01232;DB13928;DB01104;DB01236;DB12965;DB06290;DB00815;DB00421;DB00649;DB03193;DB01581;DB01582;DB00576;DB01015;DB00605;DB00864;DB00675;DB05134;DB09139;DB05521;DB14126;DB09299;DB00857;DB00624;DB13943;DB13944;DB01420;DB13946;DB00759;DB11590;DB01622;DB01623;DB01056;DB08895;DB01124;DB00500;DB00273;DB01685;DB00214;DB00755;DB00620;DB00432;DB08814;DB08867;DB00313;DB00512;DB05294;DB08881;DB00661;DB11641;DB08828;DB00162;DB06205;DB00682;DB00943;DB00495;DB00744;DB04828;
Q13740	214	CD166
P33897	215	ABCD1
P00352	216	AL1A1	DB04447;DB09462;DB00157;DB00755;DB00162;
P05091	217	ALDH2	DB01612;DB06770;DB04381;DB02115;DB00822;DB00536;DB00157;DB00435;DB00727;DB09117;DB06154;
P30838	218	AL3A1	DB00157;
P30837	219	AL1B1	DB00157;
P47895	220	AL1A3	DB00157;DB00162;
P43353	221	AL3B1	DB00157;
P49189	223	AL9A1	DB00157;
P51648	224	AL3A2	DB00157;
Q9UBJ2	225	ABCD2
P04075	226	ALDOA	DB04733;DB02512;DB11638;DB04326;DB08240;DB01593;DB14487;DB14533;
P05062	229	ALDOB	DB02512;DB02515;DB04326;
P09972	230	ALDOC
