#UniProtKBID	EntrezGeneID	GeneSymbol	DrugBankIDs
Q9Y2A4	10224	ZN443
P40200	10225	TACT
O60664	10226	PLIN3	DB01279;DB01271;
Q14728	10227	MFS10
O43752	10228	STX6
Q99807	10229	COQ7
Q14206	10231	RCAN2
Q13421	10232	MSLN	DB12845;
Q53EV4	10233	LRC23
Q7LDG7	10235	GRP2
O43390	10236	HNRPR
P78383	10237	S35B1
P61962	10238	DCAF7
P59780	10239	AP3S2
Q92665	10240	RT31
Q13137	10241	CACO2
Q9Y691	10242	KCMB2	DB03861;DB01110;DB00721;DB09089;
Q9NQX3	10243	GEPH	DB01942;DB03366;DB03766;
Q7Z6M1	10244	RABEK
O60830	10245	TI17B
O00624	10246	NPT3
P52758	10247	RIDA	DB03793;
O75817	10248	POP7
Q6IB77	10249	GLYAT	DB00145;
Q8IYB3	10250	SRRM1
O43610	10251	SPY3
O43609	10252	SPY1
O43597	10253	SPY2
O75886	10254	STAM2
Q969H4	10256	CNKR1
O15439	10257	MRP4	DB00718;DB00770;DB01076;DB00171;DB01327;DB00482;DB02659;DB00286;DB02527;DB09213;DB00586;DB00917;DB00975;DB13146;DB00544;DB00712;DB00158;DB08884;DB00143;DB00999;DB01050;DB00328;DB01009;DB00709;DB00814;DB01033;DB00563;DB00731;DB00198;DB01032;DB00481;DB00533;DB01098;DB12332;DB00203;DB00398;DB01138;DB01268;DB04348;DB14126;DB09299;DB00300;DB00352;DB01586;DB00661;DB00495;
Q7Z401	10260	MYCPP
O95976	10261	IGSF6
Q15427	10262	SF3B4
O75956	10263	CDKA2
P78411	10265	IRX5
O60895	10266	RAMP2	DB01278;
O60894	10267	RAMP1	DB01278;
O60896	10268	RAMP3	DB01278;
O75844	10269	FACE1
O43823	10270	AKAP8
O95633	10272	FSTL3
Q9UNE7	10273	CHIP
Q8WVM7	10274	STAG1
Q7Z628	10276	ARHG8
O95155	10277	UBE4B
O43281	10278	EFS
Q99720	10280	SGMR1	DB00321;DB09014;DB00907;DB00514;DB01488;DB00502;DB00956;DB00540;DB06174;DB00652;DB11186;DB03575;DB01708;DB00409;DB01104;
O15155	10282	BET1
Q6UX04	10283	CWC27
O00422	10284	SAP18
O75940	10285	SPF30
O75934	10286	SPF27
P49795	10287	RGS19
O60739	10289	EIF1B
Q15772	10290	SPEG
Q15459	10291	SF3A1
Q9BWF2	10293	TRAIP
O60884	10294	DNJA2
O14874	10295	BCKD	DB02930;
Q7L5Y9	10296	MAEA	DB05389;
O95996	10297	APCL
O96013	10298	PAK4	DB12010;
O60337	10299	MARH6
Q9BVA0	10300	KTNB1
O75971	10302	SNPC5
O95704	10307	APBB3
Q14586	10308	ZN267
P22674	10309	CCNO
O14972	10311	VP26C
Q13488	10312	VPP3
O95197	10313	RTN3
O43813	10314	LANC1
Q9HB89	10316	NMUR1
Q15025	10318	TNIP1
Q9Y6N6	10319	LAMC3
Q13422	10320	IKZF1
P54108	10321	CRIS3
Q6GMV2	10322	SMYD5
O60662	10324	KLH41
Q5VZM2	10325	RRAGB
O00241	10326	SIRB1
Q5TFQ8	10326	SIRBL
P14550	10327	AK1A1	DB08904;DB09130;DB00997;DB00898;DB06077;DB00157;DB03461;DB02383;
O43402	10328	EMC8
Q9Y2B1	10329	RXLT1
Q9Y2B0	10330	CNPY2
Q9H2X3	10332	CLC4M
Q9Y2C9	10333	TLR6
Q9Y6F6	10335	MRVI1
Q3KNV8	10336	PCGF3
Q92734	10342	TFG
Q9NTG1	10343	PKDRE
Q9Y258	10344	CCL26
Q13061	10345	TRDN
Q8IYM9	10346	TRI22
Q8IZY2	10347	ABCA7
Q8WWZ4	10349	ABCAA
Q8IUA7	10350	ABCA9
Q9UGM6	10352	SYWM	DB00150;
O75607	10360	NPM3
Q86SE8	10361	NPM2
Q9P0W2	10362	HM20B
Q9NP66	10363	HM20A
Q9Y5W3	10365	KLF2
Q9BPX6	10367	MICU1
O60359	10368	CCG3	DB13746;DB11148;DB00153;DB00421;
Q9Y698	10369	CCG2	DB13746;DB11148;DB00153;DB00898;DB00421;
Q99967	10370	CITE2
Q14563	10371	SEM3A
P68363	10376	TBA1B	DB07574;DB05147;DB01873;DB03010;
Q00978	10379	IRF9
O95861	10380	BPNT1
Q13509	10381	TBB3	DB05147;DB01873;DB04845;DB03010;DB12695;DB06042;
P04350	10382	TBB4A	DB11638;DB05147;DB01873;DB03010;DB06042;
P68371	10383	TBB4B	DB00518;DB05147;DB01873;DB00643;DB04910;DB03010;DB12695;
O00478	10384	BT3A3
Q8WVV5	10385	BT2A2
Q9UQR0	10389	SCML2
Q9Y6K0	10390	CEPT1	DB00122;DB14006;
Q9UQ03	10391	COR2B
Q9Y239	10392	NOD1
Q9UM13	10393	APC10
Q96QB1	10395	RHG07
Q9Y2Q0	10396	AT8A1	DB00144;
Q92597	10397	NDRG1
P24844	10398	MYL9
P63244	10399	RACK1	DB09130;
Q9UBM1	10400	PEMT
Q9Y6X2	10401	PIAS3
Q9Y274	10402	SIA10
O14777	10403	NDC80
Q14508	10406	WFDC2
Q08648	10407	SG11B
Q6PDA7	10407	SG11A
P80723	10409	BASP1
Q01628	10410	IFM3
O95398	10411	RPGF3
O95478	10412	NSA2
P46937	10413	YAP1
Q9BUD6	10417	SPON2
Q9HCB6	10418	SPON1
O14744	10419	ANM5
Q96S53	10420	TESK2
O95400	10421	CD2B2
Q9BSL1	10422	UBAC1
O14735	10423	CDIPT	DB03106;
O15173	10424	PGRC2
O95376	10425	ARI2
Q96CW5	10426	GCP3
O95487	10427	SC24B
Q9UEE9	10428	CFDP1
Q9BVK8	10430	TM147
Q96PK6	10432	RBM14
O75608	10434	LYPA1
O14613	10435	BORG1
Q92979	10436	NEP1
P13284	10437	GILT
Q13901	10438	C1D
Q99784	10439	NOE1
Q99595	10440	TI17A
Q92802	10443	N42L2
Q7Z7L7	10444	ZER1
Q96EZ8	10445	MCRS1
O75325	10446	LRRN2
Q92520	10447	FAM3C
P42765	10449	THIM
Q9UNP9	10450	PPIE
Q9UKW4	10451	VAV3
O96008	10452	TOM40
Q15750	10454	TAB1	DB06757;
O75521	10455	ECI2	DB08231;
O00165	10456	HAX1
Q14956	10457	GPNMB	DB05996;
Q9UQB8	10458	BAIP2
Q9UI95	10459	MD2L2
Q9Y6A5	10460	TACC3
Q12866	10461	MERTK	DB08325;DB12010;
Q6PML9	10463	ZNT9
Q8WXW3	10464	PIBF1
O43447	10465	PPIH	DB00172;
Q9UP83	10466	COG5
O43257	10467	ZNHI1
P19883	10468	FST	DB01666;
O43615	10469	TIM44
O15212	10471	PFD6
Q99592	10472	ZBT18
O00479	10473	HMGN4
O75528	10474	TADA3
O00635	10475	TRI38
O75947	10476	ATP5H
Q969T4	10477	UB2E3
O43808	10478	PM34
Q92581	10479	SL9A6
Q7L2H7	10480	EIF3M
Q92826	10481	HXB13
Q9UBU9	10482	NXF1
Q15437	10483	SC23B
Q15436	10484	SC23A
Q13536	10485	CROC4
P40123	10486	CAP2
Q01518	10487	CAP1
O43889	10488	CREB3
Q15345	10489	LRC41
Q9UEU0	10490	VTI1B
O75718	10491	CRTAP
O60506	10492	HNRPQ
Q99536	10493	VAT1
O00506	10494	STK25
Q16206	10495	ENOX2	DB04915;
O14795	10497	UN13B
Q86X55	10498	CARM1
Q15596	10499	NCOA2	DB08175;DB07678;DB07707;DB06871;DB08773;DB08402;DB08398;DB07863;DB07708;DB07712;DB06898;DB08048;DB08595;DB07195;DB07086;DB07087;DB08047;DB08320;DB00255;DB07932;DB00783;DB13952;DB13953;DB13954;DB13955;DB13956;DB01645;DB02998;DB07080;DB08601;
O95754	10505	SEM4F
Q92854	10507	SEM4D
Q9NPR2	10509	SEM4B
Q99985	10512	SEM3C
Q92624	10513	APBP2
Q9BQG0	10514	MBB1A
Q9UBX5	10516	FBLN5
Q5XX13	10517	FBW10
O75838	10518	CIB2	DB11093;DB11348;DB14481;
Q99828	10519	CIB1	DB11093;DB11348;DB14481;
Q13398	10520	ZN211
Q92841	10521	DDX17
O75398	10522	DEAF1
Q8IWX8	10523	CHERP
Q92993	10524	KAT5	DB01992;DB02039;
Q9Y4L1	10525	HYOU1
O15397	10526	IPO8
O95373	10527	IPO7
O00567	10528	NOP56
O76041	10529	NEBL
Q5JRX3	10531	PREP
O95352	10533	ATG7
O60232	10534	ZNRD2
O75792	10535	RNH2A
Q8IVL6	10536	P3H3	DB00126;DB00172;DB00139;
O15205	10537	UBD
Q16520	10538	BATF
O76003	10539	GLRX3
Q13561	10540	DCTN2
Q92688	10541	AN32B
O43504	10542	LTOR5
Q9UNN8	10544	EPCR	DB00055;DB04327;DB11328;
O15321	10548	TM9S1
Q13162	10549	PRDX4
O75915	10550	PRAF3
O95994	10551	AGR2
Q92747	10552	ARC1A
Q9BUP3	10553	HTAI2	DB11077;
Q99943	10554	PLCA
O15120	10555	PLCB
P78346	10556	RPP30
P78345	10557	RPP38
O15269	10558	SPTC1	DB00114;DB00133;
O60779	10560	S19A2	DB00152;
Q8TCB0	10561	IFI44
Q6UX06	10562	OLFM4
O43927	10563	CXL13
Q9Y6D5	10564	BIG2
Q9Y6D6	10565	BIG1
O75969	10566	AKAP3
Q9UI14	10567	PRAF1
O95436	10568	NPT2B	DB11348;DB14481;DB14502;DB09449;DB14503;
O95391	10569	SLU7
O14531	10570	DPYL4
O15304	10572	SIVA	DB01593;DB14487;DB14533;
Q13084	10573	RM28
Q99832	10574	TCPH
P50991	10575	TCPD
P78371	10576	TCPB
P61916	10577	NPC2
P22749	10578	GNLY	DB03434;
O95359	10579	TACC2
Q9BX66	10580	SRBS1
Q01629	10581	IFM2
Q9Y6A1	10585	POMT1
Q9Y586	10586	MB212
Q9NNW7	10587	TRXR2	DB05428;
P49914	10588	MTHFS
Q14919	10589	NC2A
O76038	10590	SEGN
O43598	10591	DNPH1
O95347	10592	SMC2
Q6P2Q9	10594	PRP8
O95433	10598	AHSA1
Q9Y5T5	10600	UBP16
Q9UKI2	10602	BORG2
O14492	10603	SH2B2
Q9H074	10605	PAIP1
P22234	10606	PUR6	DB00128;
Q12788	10607	TBL3
Q14582	10608	MAD4
Q92791	10609	SC65
Q9UJ37	10610	SIA7B
Q96HC4	10611	PDLI5
O75382	10612	TRIM3
O75477	10613	ERLN1
O94992	10614	HEXI1
Q96R06	10615	SPAG5
Q9BYM8	10616	HOIL1
O95630	10617	STABP
O43493	10618	TGON2
Q8IVW6	10620	ARI3B
Q9H1D9	10621	RPC6
O15318	10622	RPC7
Q9BUI4	10623	RPC3
Q9Y6Y0	10625	NS1BP
O95361	10626	TRI16
P19105	10627	ML12A	DB08378;
Q9H3M7	10628	TXNIP
Q9Y6J9	10629	TAF6L
Q86YL7	10630	PDPN
Q15063	10631	POSTN
O75964	10632	ATP5L	DB11638;DB12695;
Q99501	10634	GA2L1
Q96B01	10635	R51A1
O43566	10636	RGS14
O00471	10640	EXOC5
Q8WTW4	10641	NPRL2
Q9NZI8	10642	IF2B1
O00425	10643	IF2B3
Q9Y6M1	10644	IF2B2
Q96RR4	10645	KKCC2	DB12010;
O95969	10647	SG1D2
O95968	10648	SG1D1
Q96N28	10650	PLD3A
O75431	10651	MTX2
O15498	10652	YKT6
O43291	10653	SPIT2
Q15126	10654	PMVK
Q9Y5R5	10655	DMRT2
O75525	10656	KHDR3
Q07666	10657	KHDR1
Q92879	10658	CELF1
O95319	10659	CELF2
P52954	10660	LBX1
Q13351	10661	KLF1
O00574	10663	CXCR6
P49711	10664	CTCF
Q15762	10666	CD226
O95363	10667	SYFM	DB00120;
Q99675	10668	CGRF1
Q7L523	10670	RRAGA
O00399	10671	DCTN6
Q14344	10672	GNA13
Q9Y275	10673	TN13B	DB03316;DB08879;DB04272;
O95196	10675	CSPG5
O75366	10677	AVIL
Q9NY97	10678	B3GN2
O14775	10681	GNB5
Q15125	10682	EBP	DB00675;
Q9NYJ7	10683	DLL3
Q9Y5I7	10686	CLD16
Q9UL42	10687	PNMA2
Q9Y231	10690	FUT9
Q9Y692	10691	GMEB1
O14718	10692	OPSX
Q92526	10693	TCPW
P50990	10694	TCPQ
Q9BT09	10695	CNPY3
P81408	10712	F189B
Q53GS9	10713	SNUT2
Q15054	10714	DPOD3
P27544	10715	CERS1
Q16650	10716	TBR1
Q9Y6B7	10717	AP4B1
P56975	10718	NRG3
O75417	10721	DPOLQ
Q9Y666	10723	S12A7	DB00761;
O60502	10724	OGA	DB00428;
O94916	10725	NFAT5
Q9Y266	10726	NUDC	DB12695;
Q15185	10728	TEBP	DB00316;DB09130;DB05036;
Q96TA2	10730	YMEL1
Q9UL49	10732	TCFL5
O00444	10733	PLK4	DB12010;
Q9UJ98	10734	STAG3
Q8N3U4	10735	STAG2
Q9NPC8	10736	SIX2
O75679	10738	RFPL3
O75678	10739	RFPL2
O75884	10741	RBBP9
Q9Y5P3	10742	RAI2
Q7Z5J4	10743	RAI1
Q9NZH5	10744	PTTG2
Q9UMS5	10745	PHTF1
Q9Y2U5	10746	M3K2	DB06616;DB12010;
O00187	10747	MASP2	DB04527;
O43896	10749	KIF1C
Q13588	10750	GRAP
O00533	10752	NCHL1
O14908	10755	GIPC1
O43734	10758	CIKS
Q9HBJ0	10761	PLAC1
Q9UKX7	10762	NUP50
P48681	10763	NEST
Q9UGL1	10765	KDM5B
Q14106	10766	TOB2
Q9Y450	10767	HBS1L
O43865	10768	SAHH2
Q9NYY3	10769	PLK2	DB12010;
Q15326	10771	ZMY11
O75494	10772	SRS10
Q15916	10773	ZBTB6
O95707	10775	RPP29
P56211	10776	ARP19
Q9UBL0	10777	ARP21
Q14588	10780	ZN234
Q14584	10781	ZN266
Q96GC6	10782	ZN274
Q9HC98	10783	NEK6
P57081	10785	WDR4
Q9Y2A7	10787	NCKP1
Q13576	10788	IQGA2
O95183	10791	VAMP5
Q14593	10793	ZN273
Q14592	10794	ZN460
P13995	10797	MTDC	DB00157;DB00116;
O75818	10799	RPP40
Q9Y271	10800	CLTR1	DB00587;DB08855;DB11858;DB00471;DB00716;DB01411;DB00549;
Q9UHD8	10801	SEPT9
O95486	10802	SC24A
P51686	10803	CCR9	DB15250;
O95452	10804	CXB6
Q86SQ7	10806	SDCG8
Q96C92	10807	ENTR1
Q92598	10808	HS105	DB12695;
Q9Y365	10809	STA10
Q9UPY6	10810	WASF3
Q86UR1	10811	NOXA1
Q9BVJ6	10813	UT14A
Q6PUV4	10814	CPLX2
O14810	10815	CPLX1
P49223	10816	SPIT3
O43559	10817	FRS3
Q8WU20	10818	FRS2
Q9UQ49	10825	NEUR3
Q9NRY5	10827	F1142
O75891	10840	AL1L1	DB00116;
O95954	10841	FTCD	DB03256;DB00142;DB00114;DB00116;
O96001	10842	PPR17
Q9BSJ2	10844	GCP2
O76031	10845	CLPX
Q9Y233	10846	PDE10	DB08384;DB08387;DB08386;DB08383;DB08389;DB08391;DB00201;DB00975;DB01113;DB08811;DB09283;DB08814;
Q6ZRS2	10847	SRCAP
Q8WUF5	10848	IASPP
O15446	10849	RPA34
Q9Y4X3	10850	CCL27
Q9Y251	10855	HPSE	DB06779;DB01109;
Q9Y230	10856	RUVB2	DB04216;
O00264	10857	PGRC1	DB00514;DB00540;DB01104;
Q9Y6A2	10858	CP46A
Q8NHL6	10859	LIRB1
Q9H2B4	10861	S26A1
Q9UKQ2	10863	ADA28	DB08733;DB02996;DB03880;DB02215;DB02255;DB02046;DB03088;
Q9Y694	10864	S22A7	DB00437;DB00345;DB00887;DB00456;DB01326;DB01329;DB00493;DB02659;DB00501;DB01211;DB02527;DB01160;DB00917;DB01248;DB00584;DB00544;DB01004;DB03553;DB01016;DB00328;DB01009;DB00563;DB01017;DB01303;DB00595;DB00175;DB01032;DB01045;DB00936;DB09327;DB00624;DB13943;DB13944;DB13946;DB00759;DB00277;DB00313;DB00943;DB00495;
Q03989	10865	ARI5A
O75954	10867	TSN9
Q9Y2K6	10868	UBP20
O94966	10869	UBP19
Q9UBK5	10870	HCST
Q08708	10871	CLM6
P48645	10874	NMU
Q92496	10877	FHR4
Q02985	10878	FHR3
P02814	10879	SMR3B
Q9Y614	10880	ACL7B
Q9Y615	10881	ACL7A
O75973	10882	C1QRF
Q9NP92	10884	RT30
Q9UNX4	10885	WDR3
Q9Y5X5	10886	NPFF2
P61026	10890	RAB10
Q9UBK2	10891	PRGC1
Q9UDY8	10892	MALT1
Q9Y5R2	10893	MMP24	DB00786;
Q9Y5Y7	10894	LYVE1
O95070	10897	YIF1A
O95639	10898	CPSF4
O76095	10899	JTB
Q59EK9	10900	RUN3A
Q9BTZ2	10901	DHRS4	DB00162;
Q9H0E9	10902	BRD8
A4FU01	10903	MTMRB
P62952	10904	BLCAP
O60476	10905	MA1A2
O14545	10906	TRAD1
P83876	10907	TXN4A
Q8IY17	10908	PLPL6
Q9Y2Z0	10910	SGT1
O95399	10911	UTS2
O95257	10912	GA45G
Q9UNE0	10913	EDAR
P51003	10914	PAPOA	DB02153;DB01860;DB03896;
O14776	10915	TCRG1
Q9UNF1	10916	MAGD2
Q96KQ7	10919	EHMT2
Q99627	10920	CSN8
Q15287	10921	RNPS1
Q14296	10922	FASTK
P53999	10923	TCP4
Q92484	10924	ASM3A
Q9UBU7	10926	DBF4A
Q9Y657	10927	SPIN1
Q15311	10928	RBP1	DB00564;DB00997;DB00398;DB00541;
Q9BRL6	10929	SRSF8
Q9Y235	10930	ABEC2
Q9UBU8	10933	MO4L1
P30048	10935	PRDX3
Q9H4M9	10938	EHD1
Q9Y4W6	10939	AFG32	DB00171;
Q99575	10940	POP1
Q9Y6M0	10942	TEST
Q8N5Y2	10943	MS3L1
O00193	10944	SMAP
P24390	10945	ERD21
Q12874	10946	SF3A3	DB12695;
P53677	10947	AP3M2
Q14849	10948	STAR3
Q13151	10949	ROA0
Q14201	10950	BTG3
P83916	10951	CBX1
P60468	10952	SC61B
Q15785	10953	TOM34
Q14554	10954	PDIA5
Q13530	10955	SERC3
Q13438	10956	OS9
Q12796	10957	PNRC1
Q15363	10959	TMED2
Q12907	10960	LMAN2
P30040	10961	ERP29
Q13015	10962	AF1Q
P31948	10963	STIP1	DB09130;
P49753	10965	ACOT2
Q12829	10966	RB40B
Q99848	10969	EBP2
Q07065	10970	CKAP4
P27348	10971	1433T	DB12695;
P49755	10972	TMEDA
Q8N3C0	10973	ASCC3
Q15847	10974	ADIRF
O14957	10975	QCR10	DB07763;DB08453;DB04799;DB07778;DB07401;DB08330;DB08690;
Q92989	10978	CLP1
Q96AC1	10979	FERM2
Q7L5N1	10980	CSN6
Q13637	10981	RAB32
Q15555	10982	MARE2
Q14094	10983	CCNI
Q92616	10985	GCN1
Q92905	10987	CSN5
P50579	10988	MAP2	DB03396;DB04108;DB07322;DB07323;DB03900;DB02310;DB07746;DB07309;DB07313;DB02893;DB02640;DB00134;DB07377;DB03086;DB01422;DB04324;DB05864;DB08633;
Q16891	10989	MIC60
O75023	10990	LIRB5
Q99624	10991	S38A3	DB00174;DB00117;DB00130;
Q13435	10992	SF3B2
A1L0T0	10994	HACL2
Q9Y2P5	10998	S27A5
Q6P1M0	10999	S27A4
Q5K4L6	11000	S27A3
O14975	11001	S27A2
Q99661	11004	KIF2C	DB04395;
Q9NQ38	11005	ISK5
Q8NHJ6	11006	LIRB4
Q15834	11007	CC85B
Q13007	11009	IL24
Q86UE8	11011	TLK2	DB12010;
P33947	11014	ERD22
O43731	11015	ERD23
P17544	11016	ATF7	DB00852;
Q8WVK2	11017	SNR27
Q13445	11018	TMED1
Q9BW83	11020	IFT27
Q15286	11021	RAB35
Q9Y2W6	11022	TDRKH
Q8N6C8	11026	LIRA3
Q93062	11030	RBPMS
Q13636	11031	RAB31
O75689	11033	ADAP1
P60981	11034	DEST	DB04147;
Q9Y572	11035	RIPK3
Q9UNN4	11036	TF2AY
Q9Y6Q2	11037	STON1
Q9P1W9	11040	PIM2
O43505	11041	B4GA1
Q9UJV3	11043	TRIM1
Q5XG87	11044	PAPD7
O00322	11045	UPK1A
Q16186	11047	ADRM1
O43809	11051	CPSF5
Q16630	11052	CPSF6
Q9NZT2	11054	OGFR
Q9BS86	11055	ZPBP1
Q9Y2R4	11056	DDX52
P08910	11057	ABHD2
Q9H0M0	11059	WWP1
O00308	11060	WWP2
O75829	11061	CNMD
O95620	11062	DUS4L
O94993	11063	SOX30
Q7Z7A1	11064	CNTRL
O00762	11065	UBE2C
Q16560	11066	U1SBP
Q9NTK1	11067	DEPP1
O14569	11068	C56D2
Q8WZA2	11069	RPGF4
Q12893	11070	TM115
O95147	11072	DUS14
Q92547	11073	TOPB1
Q9BZY9	11074	TRI31
Q93045	11075	STMN2
O94811	11076	TPPP
O75031	11077	HSF2B
Q9H2D6	11078	TARA
O15258	11079	RER1
Q9UDY4	11080	DNJB4
O60938	11081	KERA
Q9NQ30	11082	ESM1
Q9BTC0	11083	DIDO1
Q9UKF5	11086	ADA29
P61964	11091	WDR5
Q96E40	11092	SACA9
Q76LX8	11093	ATS13	DB13133;DB12872;
Q9UGQ2	11094	FLOWR
Q9UNA0	11096	ATS5	DB06837;DB03880;DB06945;
O15504	11097	NUP42
O95084	11098	PRS23
Q16825	11099	PTN21
Q9BUJ2	11100	HNRL1
O95260	11101	ATE1
O95059	11102	RPP14
Q13601	11103	KRR1
O75449	11104	KTNA1
Q9NQW5	11105	PRDM7
Q9NQX1	11107	PRDM5
Q9UKN5	11108	PRDM4
P31937	11112	3HIDH	DB00157;
O14578	11113	CTRO	DB12010;
O95684	11116	FR1OP
Q9Y6C2	11117	EMIL1
P78410	11118	BT3A2
O00481	11119	BT3A1
Q7KYR7	11120	BT2A1
O14522	11122	PTPRT
Q9UKA8	11123	RCAN3
Q9UNN5	11124	FAF1
O95971	11126	BY55
Q9Y496	11127	KIF3A
O14802	11128	RPC1
Q8N2M8	11129	CLASR
O95229	11130	ZWINT
Q9UMQ6	11131	CAN11
Q9HC96	11132	CAN10
Q9Y664	11133	KPTN
Q00587	11135	BORG5
P82251	11136	BAT1	DB00138;
Q13610	11137	PWP1
O95759	11138	TBCD8
Q16543	11140	CDC37
Q9NZN1	11141	IRPL1
Q9Y2B9	11142	IPKG
O95251	11143	KAT7
Q14565	11144	DMC1	DB03366;
P53816	11145	PLAT3
Q92990	11146	GLMN
Q9XRX5	11147	HHLA3
Q8NE79	11149	POPD1
P31146	11151	COR1A
Q9Y484	11152	WIPI4
Q9BVA6	11153	FICD
Q9Y587	11154	AP4S1
O75112	11155	LDB3
O75365	11156	TP4A3
P62312	11157	LSM6	DB04272;DB02745;DB03685;
Q9UNT1	11158	RBL2B
Q9UBK7	11159	RBL2A
O94905	11160	ERLN2
Q9UKR5	11161	ERG28
P53370	11162	NUDT6
A0A024RBG1	11163	NUD4B
Q9NZJ9	11163	NUDT4
Q9UKK9	11164	NUDT5
O95989	11165	NUDT3
Q12841	11167	FSTL1
O75475	11168	PSIP1
O75717	11169	WDHD1
O95990	11170	F107A
Q9Y3F4	11171	STRAP
Q9UKP4	11173	ATS7
Q9UKP5	11174	ATS6
Q9UIF9	11176	BAZ2A
Q9NRL2	11177	BAZ1A
Q9Y250	11178	LZTS1
Q9NRM2	11179	ZN277
Q9NNW5	11180	WDR6
Q9UGQ3	11182	GTR6	DB01914;DB09341;DB09502;
Q9Y4K4	11183	M4K5	DB12010;
Q92918	11184	M4K1	DB12010;
O95050	11185	INMT
Q9NS23	11186	RASF1
Q9Y446	11187	PKP3
Q9Y2I1	11188	NISCH	DB08838;DB09242;DB00697;
Q5SZQ8	11189	CELF3
Q9BV73	11190	CP250
O75554	11193	WBP4
Q9NUT2	11194	MITOS	DB00997;
Q9Y6Y8	11196	S23IP
Q9Y5W5	11197	WIF1
Q9Y5B9	11198	SP16H
Q9UJ72	11199	ANX10
O96017	11200	CHK2	DB06486;DB12010;DB05149;
Q9UNA4	11201	POLI
O60259	11202	KLK8
Q9ULW2	11211	FZD10
O94903	11212	PLPHP	DB00172;DB00114;
Q9Y616	11213	IRAK3	DB12010;
Q12802	11214	AKP13
Q9UKA4	11215	AKA11
O43572	11216	AKA10
Q9UHI6	11218	DDX20
Q9BQ50	11219	TREX2
Q9Y6W6	11221	DUS10
P09001	11222	RM03
P42766	11224	RL35	DB11638;
Q8NCL4	11226	GALT6
Q7Z7M9	11227	GALT5
Q8NHQ8	11228	RASF8
O60831	11230	PRAF2
Q9UGP8	11231	SEC63
Q9UHN1	11232	DPOG2
Q9UPZ3	11234	HPS5
Q9BUL8	11235	PDC10
Q8WU17	11236	RN139
Q9Y225	11237	RNF24
Q9Y2D0	11238	CAH5B	DB08846;DB00909;
Q9Y2J8	11240	PADI2	DB00155;
Q6P1K2	11243	PMF1
Q9UKY1	11244	ZHX1
Q14439	11245	GP176
O95157	11248	NXPH3
O95156	11249	NXPH2
Q9Y5Y3	11250	GPR45
Q9Y5Y4	11251	PD2R2	DB00770;DB12789;DB00917;DB01088;DB00328;DB02056;DB13036;DB00605;DB04828;
Q9UNF0	11252	PACN2
Q9UKM7	11253	MA1B1	DB01955;DB03206;DB02742;DB02422;
Q9Y5N1	11255	HRH3	DB01238;DB06698;DB05381;DB05080;DB00768;DB11642;
O75935	11258	DCTN3
O43592	11260	XPOT
Q99653	11261	CHP1	DB11093;DB11348;DB14481;
Q13342	11262	SP140
Q9Y6I8	11264	PXMP4
Q9UNI6	11266	DUS12
Q96H20	11267	SNF8
Q9UMR2	11269	DD19B
Q8IXM6	11270	NRM
Q16378	11272	PROL4
Q8WWM7	11273	ATX2L
Q9UMW8	11274	UBP18
O95198	11275	KLHL2
Q9UMZ2	11276	SYNRG
Q9NSU2	11277	TREX1
Q9Y4X4	11278	KLF12
O95600	11279	KLF8
Q9UQ53	11282	MGT4B
P98187	11283	CP4F8
Q96T60	11284	PNKP
Q9UBV7	11285	B4GT7
O94956	11309	SO2B1	DB03166;DB00770;DB11586;DB01072;DB01076;DB12319;DB03793;DB01053;DB11591;DB08862;DB04272;DB00286;DB09213;DB00255;DB00917;DB00975;DB05928;DB00530;DB00783;DB13952;DB13953;DB13954;DB13955;DB13956;DB00655;DB00950;DB01095;DB01241;DB01645;DB01016;DB01050;DB01088;DB00224;DB01167;DB04398;DB11660;DB00451;DB11611;DB00227;DB00471;DB03467;DB01149;DB00220;DB00627;DB01051;DB03902;DB12978;DB02746;DB00554;DB08860;DB05804;DB00175;DB04216;DB00206;DB01045;DB11753;DB00503;DB01098;DB00936;DB01232;DB09298;DB06290;DB00641;DB00795;DB04348;DB05521;DB00759;DB00932;DB01124;DB00313;DB11613;
Q9NRW7	11311	VPS45
O95372	11313	LYPA2
Q9UGN4	11314	CLM8
Q99497	11315	PARK7	DB09130;
O14579	11316	COPE
Q9UBG7	11317	RBPJL
O95905	11319	ECD
Q9HCN4	11321	GPN1
Q7Z403	11322	TMC6
Q86XP3	11325	DDX42
Q9Y279	11326	VSIG4
O95302	11328	FKBP9
Q15208	11329	STK38	DB12010;
Q99895	11330	CTRC
Q99623	11331	PHB2	DB06774;DB15496;DB15495;
O00154	11332	BACH
Q13442	11333	HAP28
O75896	11334	TUSC2
Q13185	11335	CBX3
O60645	11336	EXOC3
O95166	11337	GBRAP
P26368	11338	U2AF2
O43482	11339	MS18B
Q96B26	11340	EXOS8
O75711	11341	SCRG1
O43567	11342	RNF13
Q99685	11343	MGLL
Q6IBS0	11344	TWF2
P60520	11345	GBRL2
Q8N3V7	11346	SYNPO
O15234	22794	CASC3
Q14112	22795	NID2
Q14746	22796	COG2
O14948	22797	TFEC
A4D0S4	22798	LAMB4
P62070	22800	RRAS2
Q9UKX5	22801	ITA11
Q9H0D6	22803	XRN2
Q9UKT9	22806	IKZF3
Q9UKS7	22807	IKZF2
O14807	22808	RASM
Q9Y2D1	22809	ATF5	DB00852;
P61923	22818	COPZ1
