DrugBankID_InteractorA	DrugBankID_InteractorB	Adverse
DB00734	DB00810	N
DB01259	DB01229	N
DB01259	DB08881	N
DB01259	DB00072	N
DB01259	DB00706	N
DB01259	DB06616	N
DB01259	DB01030	N
DB01259	DB02546	N
DB01259	DB06589	N
DB00682	DB01109	N
DB00682	DB00908	N
DB00682	DB01225	N
DB00688	DB00877	N
DB01137	DB00005	N
DB01137	DB01212	N
DB00571	DB00421	N
DB00571	DB00749	N
DB00571	DB00999	N
DB01275	DB00313	N
DB00264	DB00381	N
DB00264	DB01023	N
DB00264	DB00999	N
DB00968	DB00999	N
DB00722	DB00999	N
DB00539	DB01229	N
DB01006	DB00050	N
DB01006	DB01259	N
DB00717	DB00783	N
DB00717	DB00977	N
DB00717	DB01006	N
DB00518	DB00602	N
DB00518	DB00860	N
DB00436	DB01203	N
DB00594	DB00999	N
DB00956	DB00397	N
DB00956	DB01050	N
DB00956	DB01114	N
DB00725	DB00956	N
DB00999	DB00373	N
DB00999	DB00421	N
DB00999	DB00960	N
DB00999	DB00598	N
DB00999	DB01275	N
DB00999	DB01197	N
DB00706	DB01036	N
DB00706	DB01234	N
DB00706	DB01126	N
DB00706	DB01591	N
DB00755	DB01169	N
DB00612	DB00999	N
DB00612	DB00966	N
DB00399	DB00997	N
DB00399	DB04960	N
DB01075	DB00277	N
DB01075	DB01050	N
DB01075	DB01224	N
DB01075	DB00813	N
DB01075	DB01069	N
DB01075	DB00433	N
DB01075	DB00404	N
DB01075	DB01234	N
DB00273	DB00656	N
DB00273	DB00404	N
DB00273	DB01224	N
DB00273	DB00669	N
DB00273	DB00476	N
DB00273	DB01202	N
DB00273	DB00313	N
DB01029	DB00999	N
DB01029	DB01197	N
DB00905	DB00373	N
DB00394	DB01274	N
DB00394	DB00938	N
DB00394	DB01001	N
DB00394	DB00983	N
DB01268	DB06616	N
DB01268	DB00433	N
DB01268	DB00999	N
DB01268	DB00381	N
DB01156	DB01175	N
DB00704	DB00921	N
DB00704	DB01156	N
DB00398	DB08881	N
DB00398	DB04960	N
DB00398	DB00530	N
DB00398	DB00112	N
DB00398	DB01234	N
DB00398	DB00421	N
DB00398	DB01268	N
DB00398	DB00997	N
DB00398	DB01645	N
DB01110	DB00741	N
DB00115	DB01229	N
DB01114	DB00397	N
DB01114	DB01577	N
DB01098	DB01225	N
DB01098	DB01241	N
DB00091	DB00098	N
DB00091	DB00877	N
DB00091	DB01098	N
DB00572	DB00843	N
DB00572	DB00454	N
DB00572	DB01010	N
DB00572	DB00733	N
DB00572	DB01081	N
DB01076	DB01039	N
DB01076	DB00381	N
DB01076	DB01098	N
DB01076	DB00758	N
DB00945	DB00956	N
DB00945	DB01109	N
DB00945	DB01076	N
DB00945	DB01132	N
DB00945	DB00758	N
DB01620	DB06711	N
DB00675	DB00014	N
DB00471	DB00588	N
DB00471	DB00860	N
DB00455	DB00852	N
DB00455	DB00471	N
DB00966	DB01115	N
DB00966	DB00758	N
DB00966	DB00999	N
DB00480	DB01234	N
DB00975	DB00945	N
DB00975	DB00381	N
DB00860	DB00860	N
DB00860	DB00975	N
DB00381	DB00335	N
DB00381	DB01113	N
DB00381	DB00744	N
DB00381	DB01029	N
DB00381	DB00999	N
DB00381	DB00966	N
DB01132	DB06335	N
DB01132	DB06203	N
