# disease	number_of_all_genes	number_of_OMIM_genes	number_of_GWAS_genes	OMIM_genes	GWAS_genes
bone diseases, metabolic	38	17	21	4758;2778;5251;4041;5167;120227;1184;84572;8074;1277;1594;79158;8675;1758;57192;7421;142680	150538;100270956;205327;25978;952;7056;51059;79577;351143;23657;54510;4982;8707;3844;9658;22918;652411;389136;284274;10584;501
bone marrow diseases	63	61	3	5159;3717;212;4893;92521;11064;6125;64324;9659;55120;124540;11116;6165;25;5277;54790;22;7158;7015;3458;4928;79728;7150;6204;6223;10600;4869;2176;6201;2175;2260;6229;100505503;2177;2624;613;55215;2187;2189;23092;2178;171023;2120;3205;2122;4683;861;7066;4297;4291;4763;867;6135;3092;26127;3845;5781;80324;6231;55752;6218	729536;3717;645668
brain diseases	382	272	114	5173;374654;1141;2717;2653;23209;255928;8622;8890;5476;215;3251;55145;5071;5654;285362;85300;5582;5824;7305;5626;146057;7054;2566;540;6323;2153;348;80025;55103;5144;4973;10528;3708;83943;11277;9179;3785;8022;6792;27429;6712;64374;2998;7957;5264;59;5261;6658;54840;3242;3565;51;2997;2147;6310;79738;410;411;6314;65018;129880;538;2778;593;5189;594;57465;55737;950;275;5660;1822;6389;6908;6326;2542;5256;4728;5255;5091;54209;2548;4723;443;9570;146227;51204;25814;875;427;585;582;583;3748;1738;80184;5009;2760;1137;2259;1135;383;241;445;4541;4540;846;9640;5583;4758;55129;51057;378884;25978;5080;6507;8892;8891;2571;23064;2670;144165;3897;5828;4952;435;2563;2562;4137;8504;2592;6834;123016;56997;5663;7345;5621;23400;5664;6609;2896;166336;10020;27241;26503;4538;1636;8195;7157;4535;4536;4537;1373;5236;1585;8820;2688;22954;84059;9409;5860;9131;2584;10157;2581;785;1352;84572;1355;1861;23431;3073;3074;340024;23435;2184;4668;120892;95;25793;6403;5428;57192;84100;1629;4524;2582;5224;51128;4864;343641;338567;2554;2517;2692;2512;56652;2737;1181;2731;114327;747;54664;8893;10165;23345;1981;3064;2934;6898;23189;10577;6622;5053;472;23636;5195;5194;1967;5191;5190;5193;5192;3736;5257;26058;79158;10939;6311;55775;4598;170302;5160;79809;5162;2629;8398;773;2720;55212;9445;2395;5521;114798;9049;5354;80704;11315;9211;4508;4287;5836;166379;3786;154881;5830;1282;9627;8912;6335;1471;1476;477;351;91147;55670;374291;4854;5092;54903;3198	162540;344558;10452;8301;92949;10347;203238;100270961;3122;1946;5621;728299;29119;341;4862;1378;646583;23607;4336;23271;1495;100128646;27074;27072;5308;80036;79031;56922;4137;926;9037;337880;57111;132789;274;6263;90627;4724;450234;84286;254428;51205;147081;23666;3662;253782;285513;1330;10228;9846;81615;2043;130013;2041;338399;1008;100048912;79054;114134;84660;339761;2921;4905;454;401884;283226;100271506;57674;51435;2565;10913;66037;10404;2580;63976;25902;120892;64231;54805;85453;4815;10895;8934;5819;51338;8938;729075;442524;9108;9451;644150;64321;6622;6346;1191;26766;952;9811;6101;56979;3184;400591;643680;157708;23036;65125;7473;339263;1006;945;100129583;6239;5932;4035
brain diseases, metabolic	107	107	0	215;2717;2653;5476;285362;5824;5828;540;348;4864;2998;5264;5261;3242;51;2997;410;411;538;593;594;57192;275;6389;2542;5256;4728;5255;5091;5092;2548;4723;51204;427;443;5009;2760;445;383;4541;4540;4758;2670;3251;4952;435;8504;2592;6834;5660;6609;10020;1738;4538;4535;4537;1373;5236;1585;9409;5860;9131;2584;10157;2581;1352;2629;1355;3073;3074;340024;2184;95;5428;1629;5189;5224;51128;2517;2731;10165;6898;10577;5053;5354;5195;5194;875;5191;5190;5193;5192;79158;4598;5160;5162;84572;2582;2720;26503;4508;5257;5836;5830;1471;55670;374291
brain diseases, metabolic, inborn	106	106	0	215;2717;2653;5476;285362;5824;5828;540;348;4864;2998;5264;5261;3242;51;2997;410;411;538;593;594;57192;275;6389;2542;5256;4728;5255;5091;5092;2548;4723;51204;427;443;5009;2760;445;383;4541;4540;4758;2670;3251;4952;435;8504;2592;6834;5660;6609;10020;1738;4538;4535;4537;1373;5236;1585;9409;5860;2584;10157;2581;1352;2629;1355;3073;3074;340024;2184;95;5428;1629;5189;5224;51128;2517;2731;10165;6898;10577;5053;5354;5195;5194;875;5191;5190;5193;5192;79158;4598;5160;5162;84572;2582;2720;26503;4508;5257;5836;5830;1471;55670;374291
breast diseases	60	19	42	84952;1588;150094;4683;207;208;672;79728;5892;5290;7517;11200;2192;81847;83990;9833;5889;5888;675	595;577;401475;7015;2099;100147754;9497;339799;283491;100270908;80205;79875;100133193;57161;81847;27324;2263;22891;4214;729582;5168;80129;4046;10884;5462;100048912;441073;390218;116159;29086;10371;51592;392382;4916;100130409;647121;7141;53335;4856;347292;57178;2255
breast neoplasms	58	17	42	150094;4683;207;208;672;79728;5892;5290;7517;11200;2192;81847;83990;9833;5889;5888;675	595;577;401475;7015;2099;100147754;9497;339799;283491;100270908;80205;79875;100133193;57161;81847;27324;2263;22891;4214;729582;5168;80129;4046;10884;5462;100048912;441073;390218;116159;29086;10371;51592;392382;4916;100130409;647121;7141;53335;4856;347292;57178;2255
bronchial diseases	62	18	44	339829;55172;27019;221421;64446;94103;57628;1767;80332;8701;4589;7941;123872;55036;83544;30009;345895;51314	2615;84640;100131609;4088;401157;253013;90865;55876;441376;644540;3122;9173;3570;9283;10665;6046;1116;1118;1017;8809;6821;85480;5144;26953;169026;3132;91137;284110;64375;23418;3560;56946;3119;3118;1999;220959;3115;3113;3111;3117;149628;5089;4855;56244
carbohydrate metabolism, inborn errors	88	88	0	3920;55343;4723;5373;1798;6448;2998;10195;5261;22845;2997;2990;2799;411;56052;3141;6389;2542;9380;4728;9382;5255;5091;2548;4126;4125;51204;9526;4540;4351;4758;51422;8813;29929;79053;2592;6834;178;10559;2203;4537;5236;84342;189;2683;2584;2582;112817;1352;84572;1355;2588;374291;229;2632;7841;138050;5428;57192;3373;5224;2517;91869;79796;4247;91949;5213;2539;85365;5160;5162;2720;10466;79087;5256;4508;5257;5836;5837;51251;4669;440138;3423;3425;2538;79158;686;25839
carcinoma	63	44	19	8031;8030;54556;5290;5987;7030;10342;201163;23085;5728;7157;5546;5727;8805;116093;324;4968;1033;51592;51201;9950;79663;3621;55193;5108;3265;8312;4841;4233;8795;11236;7175;2271;6421;6392;4914;4292;5979;9516;79058;84925;57509;8643;7428	595;58480;4157;8082;100288517;3709;3119;3118;9375;2034;3662;100131561;55770;23095;267015;949;390218;353238;4276
