# disease	number_of_all_genes	number_of_OMIM_genes	number_of_GWAS_genes	OMIM_genes	GWAS_genes
digestive system neoplasms	113	57	58	2778;6391;5395;1316;4088;4089;11178;5290;79695;4763;5606;3659;6927;4072;4512;862;79728;5979;657;843;324;4595;1033;6049;51201;4092;207;3815;675;999;672;673;7486;5157;8312;8313;1499;2956;5156;4233;7048;2042;2272;6392;6390;27030;4522;4293;4292;7157;9940;4436;3845;57509;23022;2064;51741	217;387934;571;120376;112744;283450;7031;7032;23095;7227;57497;8125;11221;4276;347730;644540;6447;11200;11278;51196;28;5562;26137;652;650;267015;4092;6581;55892;3911;5144;466;999;401475;10391;5462;125;26585;100271596;2834;80724;647201;222643;728615;3119;3118;1601;220959;2494;63877;861;57609;643503;25817;1452;8667;100271015;85415
disorders of sex development	27	27	0	4214;190;3295;3730;1589;6662;7490;1586;1584;50846;84733;367;2260;3293;284654;3284;60675;6736;6716;269;268;2492;6770;55636;128674;2516;2253
dna repair-deficiency disorders	46	46	0	4261;5896;5395;8625;472;6891;6890;4436;4072;2189;1161;2068;79840;7157;79728;9401;2176;2177;2175;2073;2072;2178;2074;64421;204;2071;55215;5994;7486;2187;5993;5897;2956;7048;10111;5429;4683;1643;11200;55120;1029;4292;641;7507;7508;3981
dwarfism	28	28	0	1161;169792;1482;7253;7038;2200;389434;8820;4591;2688;2260;2261;7474;405753;2074;3481;8200;81794;8022;6528;7080;1280;59341;6777;50506;2693;2692;2690
dyskinesias	51	51	0	5173;56652;6513;747;3778;8622;56997;23345;5521;3064;3736;6872;6908;85300;5582;4287;1813;146057;472;6310;255928;10939;146227;2259;3748;785;2643;10528;1861;8575;3708;773;23230;6712;9640;7080;55129;5428;343641;5080;6507;23064;8910;6311;55775;6314;25814;25953;478;55145;112476
dysostoses	22	22	0	2737;9241;9533;64327;6949;3239;9401;2033;51082;2263;2260;64840;7291;8200;392255;10683;2254;5447;8481;2697;1387;4488
dyssomnias	21	12	11	8864;15;114781;2562;5621;3060;2668;1453;627;4211;8929;4340	4211;114781;3119;3118;80205;54465;6955;10438;5607;27324;5789
ectodermal dysplasia	20	20	0	2121;8517;128178;132884;80326;3691;8626;5317;5818;57514;3854;3868;3853;117581;10804;1896;64840;3872;4792;10913
endocrine gland neoplasms	60	28	32	2778;595;4089;79577;10232;23405;5889;5071;4221;7157;79728;3973;207;675;999;672;22800;9049;3265;5290;1499;1027;5892;5979;4978;51079;23022;2064	578;56169;80762;79887;571;112744;7031;7032;100271197;7015;647201;3232;5820;54796;3231;387934;28;2304;25817;81848;55729;4254;51562;2834;11278;392371;1761;1601;2494;63877;81037;84312
endocrine system diseases	395	152	256	5172;215;213;668;79983;2657;5741;5078;9479;5506;5071;3651;3557;10232;3172;6648;5626;3973;3559;3762;7809;9370;999;84634;135935;1493;9247;8022;1499;269;268;3643;3640;6658;2492;51;2798;4978;5573;55997;51079;2064;2778;595;169792;190;1482;11132;7038;493856;6662;79728;6517;26012;84733;367;2260;1234;4214;3667;8200;3265;6934;672;137814;846;6716;2253;6777;6770;640;55636;7422;4535;50506;6833;3758;122042;79577;8462;23405;6928;3295;6927;3293;1589;1636;7157;1730;7490;1586;8820;1584;1585;57104;55315;2688;115352;405753;284654;346171;2332;64135;22800;10019;7849;3630;3077;6528;3284;344018;7080;1027;1188;59341;1187;256297;2516;2693;2692;2690;128674;3636;4089;23101;551;5290;4760;6899;5889;3730;6557;389434;5979;50846;326;675;7474;207;5167;9049;60675;6736;9210;8086;7068;7253;5892;5444;23022;4221;7466	100131609;3710;9055;10296;112744;8622;9861;8549;26471;60685;80736;571;400223;22836;22837;5820;442257;643550;57827;23;3122;11278;3120;28;3127;7054;11116;54602;10666;9905;63951;56169;283460;29113;267017;54901;352961;145741;80737;8638;3481;5144;1797;9374;10529;23274;1493;84991;51562;3132;246778;64375;392371;394263;8872;29121;646702;723961;3304;7253;7919;81037;3123;340460;55584;56244;2065;139716;55328;57118;388125;169792;55323;116935;221527;2494;7031;7032;253013;100271197;399;3305;5491;832;100270925;340598;83657;4439;1852;54469;2304;387934;7916;55423;389203;3767;128486;6821;1236;285600;3586;55729;56984;54796;89822;100271203;136259;8567;6934;5771;440387;100271597;378805;5122;4758;166336;440574;7148;114904;4295;79068;2252;9559;53335;389840;196951;399716;644020;430;56999;140902;578;30011;80862;79571;629;729611;4279;6605;283598;100271271;10253;7015;7917;353006;23242;339799;2834;22979;79887;80069;10665;100130239;2888;3559;3516;4544;387103;5696;204010;115352;1504;6048;5789;25865;53347;4277;4276;677828;7297;10644;64135;84898;10019;267015;80762;2184;3667;116985;3172;3087;94241;58504;3119;5184;344462;6753;55384;969;63877;8935;100270827;6480;1512;25817;285834;388011;286749;54665;3630;729816;6891;6890;647201;63826;2914;55876;10239;10363;3232;3231;3109;83795;9223;26191;3107;60468;221895;168850;717;3973;266722;2745;3976;81848;100271063;8635;4008;10554;26797;4094;4254;100271600;645345;7103;3117;169026;84312;57706;3784;3118;1601;84162;3112;135154;5937;8859;54536;80018;4853;57624;4855;1761;6231;7466;63892
epilepsy	32	31	1	1141;57465;7957;1181;114327;950;2563;2562;2566;6326;6323;378884;84059;170302;6792;846;1137;1135;144165;2554;9211;785;3786;154881;3785;1822;8912;6335;9570;1476;166336	23271
esophageal diseases	27	12	15	51008;7157;11178;4293;51741;6657;9940;115908;4613;6049;7048;4481	217;222643;85480;861;5144;51196;283450;23406;10391;125;1452;8125;57707;80724;57497
exophthalmos	24	3	24	1493;115352;7253	344462;80862;285834;7253;399;353006;3710;23;11116;10665;115352;267015;4279;2914;4276;8635;1493;29113;394263;3119;646702;4295;3118;55584
eye diseases	319	211	118	3299;1302;668;50484;2652;1261;6121;10210;8546;10516;11232;24;1545;7306;4901;3791;3257;762;10585;54507;9129;4867;6247;5148;718;5146;3769;5145;7399;2700;5995;1292;1493;64072;343035;54714;8842;5428;5309;84146;84140;6017;7253;89781;4647;4137;169522;84233;10594;134430;4976;2074;291;5158;24148;9094;1121;1123;6100;3679;4653;60506;83959;8322;90167;493856;6785;2780;4284;6261;80207;6663;79803;1634;22999;1421;1524;8754;1409;26258;29914;5961;7439;1258;1259;3664;611;10133;80184;124590;65217;4117;79147;4359;6935;4541;4540;346007;64218;130557;338917;114902;79955;5080;83394;1406;220202;2979;83552;1001;3614;80144;93589;64221;83872;3000;7099;55812;2200;1420;4538;4539;4942;4535;4536;79947;4948;341640;23418;84343;84059;25861;115352;375298;3850;7299;728458;3075;6010;25794;5654;11234;7840;5340;4935;5956;84100;6295;2218;6094;388939;57190;26121;84062;92211;3859;7401;56652;387715;7287;10002;57096;57094;55975;768206;9227;84839;145226;30813;4166;4519;7078;4909;4512;5149;6103;6102;4514;10083;5925;57167;51151;1293;200576;1291;1296;388552;23746;55605;2301;778;2978;123016;81794;10461;4286;26504;4508;9215;7045;1280;3420;4016;5444;50939;1471;167691;4990;23020;6101;7466	3710;22930;718;23;1071;10665;402184;29113;267016;84898;3990;352961;8224;8870;4336;8635;387122;1797;10529;3135;9709;1493;394263;100270952;149233;646702;7253;170680;10554;4137;55584;926;360023;116935;221527;5156;399;6148;728402;4280;4285;353007;340198;221416;80122;10877;285600;3586;3662;59338;170679;100048912;353010;23418;118663;780;4295;440270;5978;7422;2165;10228;10866;54535;80864;80862;3595;629;54499;441726;390616;11116;10255;353006;4340;259266;857;858;353011;115352;6048;3080;4276;4279;3075;267015;3078;7148;5654;81579;58504;344462;57369;729075;387715;285834;7936;6499;9451;4016;343450;2914;3106;3107;100130889;221294;717;266722;5923;253018;729816;285829;8797;3119;3118;3426;8859;81494
eye diseases, hereditary	145	145	0	1302;668;762;2652;1261;6121;10210;8546;24;79147;7306;4901;3257;10585;3850;4867;3859;5148;5146;3769;5145;7399;5995;1292;64072;343035;8842;6010;84140;6017;89781;4647;1406;84233;10594;4976;5158;24148;9094;1121;1123;3679;83959;493856;4286;346007;80207;79803;1634;22999;8754;26258;29914;5961;7439;1258;1259;3815;80184;124590;65217;4117;6935;4541;4540;23418;64218;130557;79955;5080;83394;2979;167691;3614;9129;3000;55812;2200;4538;4539;4942;4535;4536;79947;4948;84343;84059;25861;375298;7299;728458;6100;25794;11234;7840;4935;84100;6295;2218;6094;388939;57190;26121;84062;92211;7401;7287;10002;57096;57094;55975;768206;9227;84839;145226;30813;4166;4519;4512;6103;6102;4514;10083;57167;51151;1293;200576;1291;1296;388552;23746;778;2978;123016;81794;10461;26504;4508;9215;7045;3420;50939;23020;6101;7466
female urogenital diseases	304	169	140	5310;4306;668;50617;760;79983;6557;6559;7225;5071;5076;8542;3557;268;6648;5824;5828;7056;8671;4868;23512;23607;3939;142680;718;7809;675;999;672;135935;84733;6716;1499;269;6092;4233;116093;6569;4643;2492;23405;4978;2064;988;120227;65266;190;7030;11136;81;6519;5251;9380;79663;6662;5311;51196;6514;5314;525;4968;11281;367;2260;2261;4214;64423;3265;4627;2271;6421;1729;2253;6770;4292;55636;7422;7421;4952;5972;7428;3758;8504;5546;629;4437;4436;5167;3295;3293;27241;1589;1636;2056;1730;7490;1586;1584;183;185;9409;189;284654;112817;10312;1287;6521;22800;5892;6524;3077;2956;3284;11236;344018;1188;10232;1187;1184;4179;201163;2516;128674;340024;554;551;8074;5290;5889;3730;6340;5728;4920;5192;5195;7466;5190;5193;221895;5925;50846;1758;65125;5800;4841;3913;79058;207;7369;57531;55193;493856;60675;6736;9210;7827;1285;2332;1286;5830;1594;3426;84925;6337;55670;6338;81494;359;3075	8626;10863;23362;28991;56169;200420;8542;346711;83636;3123;11112;10665;407977;2152;7369;29851;84902;8029;22925;80832;23562;6569;1060;3031;6563;7312;100271317;5696;55589;51071;595;23466;3709;8395;728409;286097;100271197;9658;100270946;6781;449493;6262;100270916;57619;6665;898;26011;221416;57575;6582;100271209;9153;5820;9526;100130338;100048912;55214;7029;7903;23780;8897;11122;139189;79611;126969;389840;7422;340895;284274;5462;30011;10460;3751;646195;117583;8741;6928;116448;10255;150280;54796;7092;200315;29956;2628;256356;3075;4609;100147821;9027;390218;4603;26281;56965;10;8082;2646;4760;949;353329;8661;254778;204474;286749;22918;6744;58500;100271091;158222;23635;51422;57706;3232;3231;128822;3973;2034;6909;449492;9603;403301;26957;401145;4257;56311;55686;90859;60677;8000;8416;1803;3119;3118;3117;3116;1471;4855;54901;29107;63892
female urogenital diseases and pregnancy complications	315	180	140	5310;4306;668;50617;760;79983;6557;6559;7225;3040;5071;5076;8542;3557;2321;268;6648;5824;5828;7056;8671;4868;23512;23607;3939;142680;718;7809;675;999;672;135935;84733;6716;1499;269;6092;4233;116093;6569;3039;2990;4643;2492;23405;4978;2064;988;120227;65266;190;7030;11136;81;6519;5251;9380;79663;6662;5311;51196;6514;5314;525;4968;11281;367;2260;2261;4214;64423;3265;4627;2271;6421;1729;2253;6770;4292;55636;7422;7421;4952;5972;7428;3758;8504;5546;629;4437;4436;5167;3295;3293;27241;1589;1636;2056;1730;7490;1586;1584;183;154288;185;9409;189;284654;112817;10312;2629;1287;6521;22800;5892;6524;3077;2956;3284;11236;344018;1188;10232;1187;1184;4179;201163;2516;128674;340024;554;551;8074;5290;2632;5889;3730;6340;5728;4920;5192;5195;7466;5190;5193;221895;199713;5925;50846;1758;65125;5800;4841;3913;79058;207;7369;57531;55193;493856;60675;6736;9210;26503;7827;1285;2332;1286;5830;1594;3426;219736;84925;6337;359;55670;6338;81494;7390;3075	8626;10863;23362;28991;56169;200420;8542;346711;83636;3123;11112;10665;407977;2152;7369;29851;84902;8029;22925;80832;23562;6569;1060;3031;6563;7312;100271317;5696;55589;51071;595;23466;3709;8395;728409;286097;100271197;9658;100270946;6781;449493;6262;100270916;57619;6665;898;26011;221416;57575;6582;100271209;9153;5820;9526;100130338;100048912;55214;7029;7903;23780;8897;11122;139189;79611;126969;389840;7422;340895;284274;5462;30011;10460;3751;646195;117583;8741;6928;116448;10255;150280;54796;7092;200315;29956;2628;256356;3075;4609;100147821;9027;390218;4603;26281;56965;10;8082;2646;4760;949;353329;8661;254778;204474;286749;22918;6744;58500;100271091;158222;23635;51422;57706;3232;3231;128822;3973;2034;6909;449492;9603;403301;26957;401145;4257;56311;55686;90859;60677;8000;8416;1803;3119;3118;3117;3116;1471;4855;54901;29107;63892
gastroenteritis	178	8	175	345611;149233;3663;3587;3588;55054;5243;64127	1788;3717;8927;345611;7128;23046;3132;2615;6122;728010;359779;10067;5820;3554;8863;3575;11262;55054;3127;3559;11116;134288;25824;8807;544;55765;163486;29117;400867;2859;85480;677;84624;441108;167826;11273;253430;100271063;149233;2835;5307;4485;157638;54546;10320;8600;5155;23308;63027;150962;100271352;2308;4046;3579;3663;343727;6304;3577;8209;57707;51750;57511;221416;85407;140717;64170;127281;2768;3586;2524;8204;56984;55722;653437;55600;23252;8453;2646;5771;150280;10221;100130988;3394;85027;6774;9966;284358;7422;3123;100129306;9555;54535;1001;64167;3593;56677;56169;3595;100271600;2297;2294;23406;7850;5334;283234;2805;131096;1738;257177;3458;100271520;219771;356;84619;375616;339479;64407;159296;7297;639;8771;100271305;647215;54361;80762;120892;3172;326275;2212;6354;402569;400935;3117;120400;144811;57178;944;746;4088;56301;56946;55876;1050;6550;1811;6347;8764;26191;60468;1611;80315;327;3976;22891;147;391282;91975;10171;134008;146198;117289;5734;11315;57154;7332;1601;1201;8477;8995;124626;64127;9923;54901;91272;63892
gastrointestinal diseases	307	70	246	2778;1493;6391;345611;5395;1316;4088;4089;11178;5290;79695;115908;4763;5606;4650;1908;1910;4613;4072;1890;3663;51008;4512;6392;3587;55054;5979;2668;657;843;324;4595;6657;6049;8929;4092;207;3815;3588;999;862;673;5243;10019;7486;5157;8313;4436;1499;2956;5156;4233;7048;6794;2042;149233;2316;6390;27030;4522;4293;4292;7157;9940;64127;3845;4481;2064;51741;3659	1788;217;3717;8927;345611;7128;23046;91975;3132;2615;4026;7227;6122;728010;359779;10067;2524;3554;347730;100130988;57707;80724;55054;3127;3559;11116;25949;134288;25824;8807;544;55765;163486;29117;400867;2859;85480;5144;677;999;84624;6447;5996;441108;125;167826;11273;8125;9173;728615;253430;5619;5820;149233;2835;5307;4485;57609;6311;3123;157638;85415;10320;4092;8600;5155;23308;2768;150962;100271352;56984;3676;2308;4046;3579;222643;5796;343727;6304;3577;51196;5562;51750;57511;59067;221416;85407;140717;8809;54546;64170;127281;6581;63027;1230;55892;3586;1233;8204;8667;55722;653437;55600;23252;8453;2646;5771;431704;100271596;10221;8863;359758;3394;85027;6774;3558;9966;643503;284358;7422;11262;100129306;9555;54535;1001;64167;3593;3592;56677;56169;3595;100271600;2297;283450;2294;23406;7850;5334;116028;150280;11221;2805;131096;1738;257177;644540;3458;100271520;8209;219771;26137;356;652;650;84619;2113;375616;339479;64407;159296;7297;639;466;100271305;10391;54361;80762;3084;120892;3172;326275;2212;6354;5341;402569;400935;861;220959;283234;100270859;864;3117;120400;1452;144811;57178;944;2829;746;4088;120376;56301;5979;401475;10477;56946;55876;1050;6550;1811;6347;8764;11200;26191;60468;1611;80315;327;26585;3976;22891;29851;147;8771;391282;3911;2720;10171;134008;146198;117289;3663;5734;389015;5462;11315;57497;57154;7332;647215;1601;54901;1201;79258;8477;100271063;8995;124626;64127;3575;57514;100271015;9923;84162;91272;63892
gastrointestinal neoplasms	85	47	40	2778;27030;5395;1316;4088;4089;11178;5290;79695;4763;5606;3659;4072;4512;862;5979;657;843;324;4595;6049;4092;207;3815;999;673;7486;5157;8313;1499;2956;5156;4233;7048;2042;6392;6390;6391;4522;4293;4292;7157;9940;4436;3845;2064;51741	217;120376;283450;11200;7227;57497;8125;11221;347730;644540;51196;5562;26137;652;650;4092;6581;55892;3911;5144;466;999;401475;10391;5462;125;26585;100271596;80724;222643;728615;6447;861;220959;57609;643503;1452;8667;100271015;85415
genetic diseases, inborn	991	959	35	3920;55343;27286;4023;10516;4306;285362;7306;5824;4000;5828;145226;668;3257;344;3857;3854;57514;3852;3853;3850;3998;8905;919;348;3858;51062;1798;142680;255928;65125;710;7045;146227;7046;114798;7040;1497;6094;6794;10195;5261;6658;2314;11141;2312;1258;55997;10804;2074;5913;593;594;1080;120227;1121;56052;11136;3679;275;5224;6389;3674;2542;26154;80208;80207;2548;79728;11200;525;2108;26258;29914;2263;2260;2261;2266;1406;8517;4210;8048;9526;57477;124590;8518;26580;4359;6935;4436;23095;4351;23545;23096;55129;493856;11005;4117;55120;85366;5376;6507;36;35;34;23064;1536;57502;1244;3251;2165;3098;435;2161;2160;2162;2617;9733;338;335;65055;3291;10020;10021;255738;857;859;9640;6204;6201;7414;84059;653361;7552;3861;7555;2683;54820;116519;112817;51204;84572;6611;374291;340024;4771;378884;2632;95;147912;5184;1629;5189;57094;201163;5818;55651;148738;3859;1352;56652;132884;747;80331;3064;6899;55975;768206;8292;6898;51422;3930;5354;5352;5351;5350;6103;6102;5456;6100;5146;10939;1758;51151;1756;388552;1278;79628;4313;79783;57531;23503;1277;3708;4072;8242;8243;5538;4508;339829;1281;1280;948;4914;57716;1289;91662;10908;2538;2539;1476;26260;57158;23020;64072;686;57152;5173;2717;1302;2653;114548;2719;1308;6559;7957;7389;1355;6101;8546;121512;8540;1832;7454;5582;3798;7450;4593;5624;7592;5621;7048;1371;2155;1373;6324;23111;2153;10743;2159;80025;8481;3939;126410;3931;5265;55624;5995;83943;5264;84140;1959;183;6710;9907;3730;10483;7319;2318;7253;22845;3242;92211;54840;203859;10594;825;3848;346007;6567;6329;6855;79955;169792;65266;7139;1482;23418;5498;7036;7038;7134;7137;2068;5251;9380;5257;9382;5255;5317;4723;5314;2799;7276;11281;83544;64840;11285;84233;1075;6314;3748;1738;8754;2071;8200;1134;55800;4624;4625;242;4541;4540;3918;249;2623;4547;166336;2273;5256;643418;29929;3691;4536;79947;8504;9126;1340;9129;25839;8565;8291;3702;6535;178;641339;175;5979;4538;4539;4942;3690;4535;7490;4537;4948;182;30061;9401;186;6335;185;2110;9409;25861;3081;6337;5836;1123;10157;3872;10159;5892;10661;10397;23230;3284;11234;4669;138050;3887;404672;55065;4154;221421;16;19;27032;3889;27034;60681;100505503;28956;84062;84061;55145;2693;10491;2690;54982;189;2592;3909;23345;4763;5213;84839;10577;10479;657;493753;3236;389434;24140;356;10084;5194;2812;5191;5190;5193;5192;118813;9896;1471;324;3988;51324;79152;29954;775;2629;773;779;778;1290;7102;2979;81794;70;57817;2332;2334;1594;7508;3028;2235;6135;79158;843;3074;1760;51314;1767;1140;1593;1144;1145;50617;8626;3077;8622;5095;215;22999;123606;3655;7248;2956;5176;9203;51114;4901;2664;26277;540;546;547;2652;2244;2245;2243;7391;7390;5063;1294;2705;2657;2707;2706;7399;6338;284119;6444;6445;6442;6443;4239;64374;6448;6125;7443;4041;6569;1828;89781;343641;345895;7439;2147;6310;9570;410;411;412;25814;4976;1387;3827;3949;79053;5395;22954;3373;6708;10128;8443;83959;7369;3476;4281;4286;4287;5091;5092;4126;5096;8988;443;9782;368;55036;367;128178;5009;24;54657;2760;3141;1509;8106;54658;65217;383;445;3315;254065;388939;10585;4758;785;1641;1643;1729;7401;6777;6770;1723;55636;7020;8813;5972;6218;9968;6495;146057;3614;2290;56997;4633;6496;3000;4634;116442;55812;1161;2200;2203;7157;1586;4983;1584;1585;2157;10913;56606;4247;2010;27329;6683;2055;6687;3145;137814;9509;2582;2581;2588;5961;10312;23133;30008;8074;6521;7486;6524;64175;6528;5654;7846;7841;7840;4935;59341;84100;2158;6295;783;26353;4688;2892;2109;6197;1103;81857;26121;2517;5521;1513;91869;2736;3868;2639;2731;10002;4088;83394;10165;3860;10008;91949;57096;64324;256471;9180;5889;1896;23224;5053;5728;123016;2121;440138;875;5727;871;6223;2035;4591;2033;488;4595;55172;4598;6229;7474;2038;959;3914;4166;4204;55215;10466;4952;6736;10461;2132;10528;4792;7337;5837;51251;154881;5830;5831;4010;4015;4014;7504;5195;355;7507;55775;950;55670;91624;4221;7168;9927;170302;55505;212;213;210;762;760;1785;1786;4125;5476;8573;6121;10210;285489;3329;3043;10083;5148;5479;79147;6712;7050;7051;1778;5373;2138;9897;4867;1675;51778;57167;121340;3481;675;57165;672;7249;3561;1293;286;3643;8842;3892;2998;6010;6311;3039;6017;2990;51;4647;2997;8701;2395;37;2259;2253;538;2778;5158;24148;1589;4487;26119;9499;6452;8139;6901;57194;5660;7879;9997;6908;6519;4803;55135;5167;6514;64446;5145;23171;2176;2177;2175;2073;2072;2178;427;1259;3815;127534;4864;3849;144165;3265;8450;80326;64218;130557;847;7273;27019;841;8898;5080;2978;4292;2670;149998;7421;50506;7546;8557;6834;117581;118429;1861;10555;90411;6606;6607;5339;6609;7015;6165;10558;10559;27241;26503;1634;347344;1636;22948;4069;4747;5236;1736;84342;84343;65109;123872;9215;5860;405753;2815;375298;6469;728458;1837;79087;2182;3073;2187;3075;229;2184;25794;4607;2189;224;7080;1027;5429;5428;57192;1184;2218;1029;1028;1180;3897;57190;51128;158866;1741;4089;128674;79796;7287;9459;5447;1201;1200;1203;136647;54332;2584;59344;3736;3735;30813;1893;6341;6340;4519;3040;2131;4512;4513;146059;4514;8671;25836;81846;9496;8675;7299;1292;9420;200576;1291;1296;4689;85365;5160;5162;10075;2720;113189;50943;23218;60675;9197;5048;1717;9094;462;26504;4728;1807;1806;125972;3423;4853;3420;5631;3425;7466;472;50939;9517;9516;2006;6331;28976;4854;6231;79803;50937	2615;81794;5017;338376;5649;7117;116085;54875;84871;40;100132286;114182;56606;7536;5289;79667;8398;6446;4507;359775;11127;7092;388698;284382;91056;6014;56946;2895;2312;139363;5871;257397;51074;53940;7547
genetic diseases, x-linked	121	121	0	3920;55505;2717;9203;2719;27286;215;7454;1837;3251;7592;26277;4983;546;8905;2245;2158;2010;142680;5063;6448;3561;7319;6658;6567;51;412;538;6855;120227;1121;6901;2892;4204;3476;4281;3028;55135;51114;2664;6197;919;367;64840;8517;5009;57477;4625;8450;254065;23096;1641;2273;51422;1536;57502;7421;4952;9968;54820;2290;6535;641339;7015;116442;347344;1736;186;653361;7552;10159;23133;65109;6611;8573;7846;138050;11141;1184;3373;4688;4689;55651;51128;28956;84061;158866;1741;9459;8074;23345;1896;10479;23224;959;5354;24140;10084;5456;1758;1756;170302;5160;5162;10075;5167;50943;7102;5251;5048;8242;2332;2334;2182;3423;5631;3425;7504;4000;26260;1594
genital diseases, female	45	31	14	668;23512;79983;5290;10232;4437;4436;5889;5071;2956;5728;1730;221895;2261;207;675;999;672;135935;22800;5892;1499;9210;344018;2332;2492;4292;23405;4978;2516;2064	3232;5820;9603;3231;56169;286749;54796;7312;3973;100048912;6928;100271197;57706;63892
genital diseases, male	112	25	91	122042;57135;60528;11200;23405;6928;23301;4477;5728;1617;117155;3973;6041;367;8653;4601;1316;8287;3640;117144;161497;2048;4481;57054;57055	153572;646255;22853;391679;3655;22834;4477;26579;7054;4983;7399;5462;100271222;367;11278;401237;80031;2492;5305;10611;81037;157638;2255;5010;79887;9651;23301;728484;7015;6662;6660;653268;100128390;55423;2263;50805;6582;6581;6580;3817;55729;219931;140885;25978;340602;2677;54535;430;578;100271372;402123;6928;222546;8193;54790;387934;4824;58472;253461;638;79083;196374;80762;4609;389136;359941;139189;6498;401475;100189492;94274;84075;5192;8673;1293;81848;55170;80319;137868;84790;55190;4254;122525;60678;100270871;7337;5630;354;51312;1761;63892
genital neoplasms, female	29	22	7	23512;5290;10232;4437;4436;5889;5071;5728;221895;2261;207;675;999;672;22800;5892;1499;2956;4292;23405;4978;2064	3232;5820;54796;3231;56169;6928;100271197
genital neoplasms, male	92	14	82	1316;5728;60528;2048;11200;3973;6041;6928;4481;23301;367;23405;4477;4601	5010;100128390;578;79887;1293;153572;6498;646255;22853;401475;100271372;402123;6928;391679;23301;100189492;222546;22834;4477;84790;84075;7015;26579;387934;6662;100270871;4824;55729;653268;401237;7054;8673;58472;4983;354;2263;81848;94274;80319;137868;253461;6582;6581;6580;8193;3817;728484;638;55190;79083;7399;4254;196374;2677;5462;100271222;80762;4609;60678;54790;389136;219931;11278;7337;50805;80031;25978;5630;5305;340602;10611;122525;81037;157638;367;3655;51312;2255;1761;54535;430;63892
glioma	22	16	6	5728;162967;3417;675;55717;57670;57120;673;6098;51684;324;1499;5468;1755;2064;8643	5820;56169;51750;23187;100048912;7015
glomerulonephritis	26	7	20	1285;23607;64423;4643;7225;81;8542	449492;449493;3119;3118;8897;3116;9526;22925;8741;6665;10665;3117;407977;3075;3123;5696;150280;10255;4855;8542
glucose metabolism disorders	258	34	233	6833;9479;3636;23101;3630;8462;4760;5078;11132;5506;6927;3651;493856;4535;3559;6517;57104;55315;1234;3667;346171;5167;9370;64135;10019;1493;6524;6934;3172;3643;256297;640;7466;6928	100131609;1236;339896;10296;8622;79635;9861;8549;26471;7227;60685;80736;3767;400223;22836;22837;442257;643550;57827;3122;3123;3120;3254;3127;7054;1071;8658;10666;9905;63951;283460;267015;267017;2158;54901;287;3990;352961;145741;8638;3481;5144;1797;9374;9709;1493;84991;3559;3132;246778;64375;8872;29121;100270950;723961;3304;729611;5696;128486;157638;100270981;56244;2065;4023;729288;55328;57118;388125;169792;391719;55323;116935;221527;80737;391524;253013;22918;10239;3305;5491;84320;6262;340598;4439;1852;3479;8882;100271600;84226;55423;54602;389203;7919;6821;100130239;79660;3586;84450;56984;89822;100271203;136259;100270938;6934;340460;5771;440387;100271597;378805;5122;4758;166336;7148;114904;79068;80059;9559;53335;644020;139716;57829;430;56999;140902;442117;79571;629;441726;6605;283598;100271271;10253;100270925;7917;7916;23242;339799;22979;80069;10665;2888;84811;3516;100147745;10221;387103;90768;204010;100270945;115352;1504;6048;5789;25865;53347;4277;116519;7297;10644;64135;10562;10019;22807;2184;3667;116985;3172;3087;94241;8567;3119;5184;83795;6753;3118;55384;969;8935;100270827;6480;1512;4544;388011;54665;3630;729816;6891;6890;11321;55876;9055;10363;4276;4008;3109;9223;26191;3107;60468;221895;168850;717;2745;3976;100271063;63826;10554;26797;54469;2646;645345;7103;100287887;677828;169026;3784;23274;3117;84162;3112;135154;5937;8859;54536;80018;4853;57624;4855;399716;6231;7466;29107;63892
goiter	31	4	30	5172;1493;115352;7253	344462;80862;285834;7253;399;353006;3710;832;440574;23;11116;10665;83657;115352;267015;4279;2914;4276;4094;8635;1493;29113;394263;3119;646702;4295;3118;196951;55584;2252
gonadal disorders	72	54	19	128674;122042;668;79983;190;5290;10232;23405;3295;5889;5071;269;3293;268;1589;6662;1730;7490;1586;55636;1584;50846;26012;84733;367;2260;3730;3973;284654;207;675;999;84634;135935;22800;5892;60675;6736;6716;1499;9210;3284;672;3640;344018;2332;2253;4214;2492;6770;2798;4978;2516;2064	3232;5820;54796;3231;56169;79887;55729;7015;4254;286749;3973;578;81037;80762;100271197;57706;81848;1761;63892
gout	22	2	21	7369;56606	5289;6446;79667;7536;54875;56606;5871;2895;84871;40;139363;5649;114182;7117;359775;257397;7092;6014;116085;53940;7547
gram-positive bacterial infections	35	7	28	3593;8517;3594;3459;6772;3460;1536	3127;168507;124460;3128;79747;1540;3122;3123;9966;734;646583;5932;352961;4277;80099;6299;3119;3118;3117;55744;400757;149233;8767;64127;121838;144811;160857;56244
graves disease	24	3	24	1493;115352;7253	344462;80862;285834;7253;399;353006;3710;23;11116;10665;115352;267015;4279;2914;4276;8635;1493;29113;394263;3119;646702;4295;3118;55584
hair diseases	27	12	15	9119;1041;3889;147409;10161;3892;121391;55806;200879;3887;147495;538	353094;6821;59067;344462;3119;3118;5246;22971;3559;3558;1493;60401;170553;367;64375
