29211 3
35556 694 0.9495288887862087
15850 426 0.946248841843838
15711 423 0.9289335984782578
42537 -1 0.0
45596 692 0.9706248913811943
44237 553 0.978639651274113
6855 419 0.9365905219825033
60560 749 1.0
46907 435 1.0
48583 -1 0.0
31325 -1 0.0
18149 -1 0.0
7411 90 0.7817782808779113
6810 -1 0.0
30855 766 1.0
71704 523 0.8521330590623254
51129 629 0.9356014352064438
45595 -1 0.0
110111 635 1.0
1901565 -1 0.0
55114 -1 0.0
6357 311 1.0
2224 -1 0.0
6950 718 1.0
8150 -1 0.0
1901135 503 0.9039855347183419
48609 752 0.9914211596919054
51049 563 1.0
31334 460 1.0
44249 475 1.0
42178 -1 0.0
46189 -1 0.0
6725 -1 0.0
1709 740 1.0
33554 -1 0.0
9267 261 0.9863705687547455
19336 -1 0.0
31333 -1 0.0
2009 -1 0.0
2000241 -1 0.0
904 770 1.0
31331 583 1.0
42180 -1 0.0
45597 689 1.0
31329 583 1.0
32502 573 1.0
15718 426 1.0
6805 -1 0.0
50673 643 0.9169675686174682
18212 525 1.0
21952 34 0.46802001623151157
17000 -1 0.0
60429 -1 0.0
19438 -1 0.0
17001 -1 0.0
9306 394 1.0
2000242 -1 0.0
98609 646 1.0
1905039 426 0.9517342680058389
98657 418 1.0
46677 -1 0.0
6418 229 0.9776160786069917
42127 380 1.0
18202 524 0.696540263642652
70127 229 1.0
8284 380 1.0
1900376 -1 0.0
6915 681 0.932357662655818
7169 -1 0.0
1901575 523 0.8354673994686991
1901605 504 0.9297347213450982
44550 -1 0.0
6575 504 0.908771125624783
8285 -1 0.0
44272 -1 0.0
71236 -1 0.0
31330 583 1.0
50789 -1 0.0
50804 462 1.0
1901576 523 0.7942306774882298
6796 503 0.8738356382572458
2000243 -1 0.0
19748 -1 0.0
22602 747 0.9581325761833105
34613 -1 0.0
19054 105 1.0
21545 767 1.0
1101 -1 0.0
98655 -1 0.0
50715 601 1.0
18307 480 1.0
10646 613 0.9947637881898314
9593 317 1.0
16192 434 0.9825135421806133
42181 -1 0.0
1900378 638 0.9664245310105348
51345 237 1.0
9059 559 1.0
48869 -1 0.0
72657 365 0.8888713245970956
44087 -1 0.0
1900377 639 0.9645220936506855
44273 -1 0.0
6468 303 1.0
50710 601 1.0
51336 237 1.0
1903827 -1 0.0
60341 -1 0.0
55085 -1 0.0
6355 315 0.9942132346843137
19637 503 0.9071934477162801
6906 265 0.9597789298154298
51171 -1 0.0
6812 -1 0.0
8104 636 1.0
50707 601 1.0
51301 719 0.9995726006857717
8543 361 0.9998682808769074
21605 -1 0.0
51338 299 1.0
122 292 1.0
30334 430 1.0
45893 -1 0.0
21604 -1 0.0
44248 -1 0.0
43603 -1 0.0
60070 386 0.9334002433366473
2376 -1 0.0
42391 129 0.9515951532212283
7389 709 0.9972643857128104
6400 244 0.9716805868112295
18193 -1 0.0
1901654 -1 0.0
33993 -1 0.0
1901615 -1 0.0
21953 722 1.0
226 688 1.0
50793 -1 0.0
45892 316 1.0
45995 651 0.9860121823989313
21602 -1 0.0
71248 293 1.0
21603 -1 0.0
10927 -1 0.0
1901137 -1 0.0
97305 369 1.0
48589 -1 0.0
48638 517 0.9965083405960719
33365 348 0.9595479210936461
18033 514 1.0
51276 182 1.0
10035 374 1.0
60284 -1 0.0
7269 282 1.0
98739 418 1.0
33043 177 0.8393976153729534
15031 205 1.0
1902533 338 0.9748411673945745
7268 546 1.0
71396 -1 0.0
51348 299 1.0
62012 -1 0.0
1902531 338 0.9638817912230295
8152 79 1.0
10038 294 1.0
18283 524 0.8187175243367291
51347 -1 0.0
9725 -1 0.0
97327 -1 0.0
30182 723 1.0
1901264 -1 0.0
18201 516 1.0
1901606 -1 0.0
18210 -1 0.0
16331 584 1.0
90487 -1 0.0
120031 741 1.0
48870 -1 0.0
80135 -1 0.0
30336 430 0.99720179081114
6417 403 1.0
19752 472 0.6593710542542865
16055 -1 0.0
39507 111 1.0
22611 726 1.0
1901617 -1 0.0
6281 449 0.9843524709350719
32984 661 1.0
19538 -1 0.0
10720 -1 0.0
34122 223 1.0
9952 744 0.42253455958445674
34121 222 1.0
2001023 541 0.9761562834959077
51173 -1 0.0
98656 423 0.8263090286989425
18200 -1 0.0
30335 430 0.9269931985923278
60326 532 1.0
30072 393 1.0
1903008 -1 0.0
42182 -1 0.0
1990778 365 0.8889694679375135
9791 746 1.0
10721 -1 0.0
2001024 541 0.9486400930865411
1902532 338 0.9610918765296688
6793 472 0.7851142147959764
51172 -1 0.0
46394 472 0.6475439709656928
10564 410 1.0
44089 -1 0.0
71229 -1 0.0
10468 -1 0.0
51346 237 0.8759586570185728
1901607 504 0.8963308841142672
15698 409 1.0
34123 222 1.0
22411 -1 0.0
19882 433 0.9745029633235132
97237 -1 0.0
1903828 -1 0.0
16485 466 0.9111309683225985
6886 104 1.0
30509 180 0.9988641975090188
