11125 3
16493 -1 0.0
19206 -1 0.0
10354 40 0.8288879121754185
31806 236 0.26556355172780943
51765 220 0.2304156651013425
31628 -1 0.0
34069 75 0.3049512999722057
31685 -1 0.0
31871 -1 0.0
34071 220 0.23335163176580492
4866 -1 0.0
19888 -1 0.0
52736 -1 0.0
51766 220 0.229299487330867
3933 -1 0.0
140297 -1 0.0
9679 -1 0.0
16922 -1 0.0
43225 -1 0.0
15407 -1 0.0
30228 -1 0.0
140104 -1 0.0
16867 130 0.33465323178786544
3700 24 0.9500315549016843
15215 -1 0.0
16882 32 0.3182902665669023
16721 -1 0.0
22804 -1 0.0
5346 63 0.8858740429340799
42393 -1 0.0
50738 -1 0.0
48019 -1 0.0
43211 -1 0.0
48030 -1 0.0
976 105 1.0
15399 -1 0.0
51400 22 0.33149767417526604
4402 75 0.30357946931818436
140333 -1 0.0
106130 -1 0.0
61783 -1 0.0
16298 -1 0.0
8477 -1 0.0
16653 -1 0.0
1904680 -1 0.0
16794 -1 0.0
32561 -1 0.0
101005 -1 0.0
15631 -1 0.0
16307 220 0.23087449607381427
32404 -1 0.0
34318 -1 0.0
140328 -1 0.0
51748 -1 0.0
97642 -1 0.0
31593 -1 0.0
15276 69 0.9477326719337602
30695 -1 0.0
52866 -1 0.0
19171 -1 0.0
16730 -1 0.0
22890 -1 0.0
35515 -1 0.0
16417 -1 0.0
97506 -1 0.0
16889 -1 0.0
1716 -1 0.0
3884 -1 0.0
4950 -1 0.0
5085 -1 0.0
42879 -1 0.0
19207 -1 0.0
5283 -1 0.0
15165 -1 0.0
33765 -1 0.0
8233 -1 0.0
31320 -1 0.0
86007 -1 0.0
15159 -1 0.0
3684 -1 0.0
16423 -1 0.0
15078 -1 0.0
17016 192 1.0
16840 29 0.3059432572553579
16753 -1 0.0
4030 120 0.30474320339837146
99095 -1 0.0
50735 -1 0.0
16749 -1 0.0
15067 -1 0.0
140313 -1 0.0
30555 -1 0.0
86006 -1 0.0
16679 -1 0.0
4457 -1 0.0
36318 247 0.32146940443841826
17136 -1 0.0
16877 -1 0.0
4932 -1 0.0
5165 231 0.3301485298550745
16433 -1 0.0
32813 -1 0.0
35312 131 1.0
339 -1 0.0
43565 -1 0.0
8242 -1 0.0
19136 -1 0.0
8509 -1 0.0
4177 91 0.9033285896613445
51428 -1 0.0
35064 -1 0.0
15245 -1 0.0
16247 4 0.8915454974830515
4675 -1 0.0
8200 4 1.0
140296 -1 0.0
30594 -1 0.0
16453 -1 0.0
4518 -1 0.0
70735 -1 0.0
16741 -1 0.0
19202 220 0.2347642110677034
33549 249 1.0
4560 -1 0.0
46873 -1 0.0
4673 -1 0.0
1990239 -1 0.0
45028 -1 0.0
8443 220 0.26066482464184804
4748 -1 0.0
15154 -1 0.0
4308 -1 0.0
992 -1 0.0
35258 -1 0.0
51536 -1 0.0
19118 -1 0.0
16716 -1 0.0
22824 -1 0.0
5172 231 0.3817125699413593
4567 -1 0.0
19107 -1 0.0
1016 -1 0.0
5356 -1 0.0
51723 -1 0.0
5214 -1 0.0
1882 -1 0.0
8017 -1 0.0
8135 -1 0.0
16312 -1 0.0
52827 -1 0.0
8134 -1 0.0
4596 -1 0.0
52834 -1 0.0
15562 -1 0.0
4058 -1 0.0
3886 -1 0.0
32036 234 1.0
16696 -1 0.0
51920 193 0.5304320562656324
15343 -1 0.0
31834 223 0.8861311455693542
46995 -1 0.0
5152 -1 0.0
36137 -1 0.0
62186 -1 0.0
16427 -1 0.0
8905 152 1.0
52841 93 0.28541265395656884
4084 -1 0.0
15651 -1 0.0
34481 -1 0.0
72532 -1 0.0
16805 -1 0.0
16279 -1 0.0
31763 223 0.9000752501450761
4311 40 0.8211709676510669
98809 222 1.0
1902936 -1 0.0
