4183 3
99023 -1 0.0
98562 14 1.0
31012 26 1.0
31461 50 0.291861312570059
5681 -1 0.0
5768 -1 0.0
42575 -1 0.0
5856 -1 0.0
5720 23 1.0
5875 -1 0.0
1902911 -1 0.0
5583 -1 0.0
803 -1 0.0
43226 -1 0.0
152 -1 0.0
5593 10 1.0
31090 -1 0.0
55029 -1 0.0
98803 -1 0.0
30425 32 0.9093721649586217
1905368 -1 0.0
5874 30 0.9153485825702472
34774 -1 0.0
1903561 -1 0.0
33061 -1 0.0
98576 14 0.9872795845852126
90576 -1 0.0
90571 40 1.0
99080 -1 0.0
5775 -1 0.0
30658 57 0.9157557819917806
785 -1 0.0
30312 -1 0.0
30424 -1 0.0
32300 3 0.9538798192218897
101031 -1 0.0
1990391 3 1.0
5575 -1 0.0
1905347 -1 0.0
120114 -1 0.0
5940 -1 0.0
9526 -1 0.0
35097 18 1.0
30427 -1 0.0
42995 -1 0.0
1903293 -1 0.0
5694 -1 0.0
31502 -1 0.0
97071 -1 0.0
5887 7 1.0
60187 -1 0.0
1990077 68 0.9046896634494402
39714 -1 0.0
5882 -1 0.0
5815 -1 0.0
5783 -1 0.0
10008 57 0.7718164474361786
34703 -1 0.0
30133 -1 0.0
5788 48 0.9325280546536445
1902555 -1 0.0
5764 -1 0.0
30684 -1 0.0
98589 -1 0.0
5618 31 1.0
43679 -1 0.0
48770 -1 0.0
5737 -1 0.0
5684 -1 0.0
97386 -1 0.0
32156 39 0.9779589450926642
1902562 1 0.8995942059504047
31224 -1 0.0
5773 -1 0.0
51286 -1 0.0
19815 16 0.9568877766668262
42170 -1 0.0
33646 -1 0.0
43233 -1 0.0
32589 35 1.0
5891 -1 0.0
1990099 -1 0.0
70461 -1 0.0
31225 -1 0.0
31501 -1 0.0
30936 -1 0.0
34358 -1 0.0
792 23 1.0
97427 -1 0.0
31967 -1 0.0
133 -1 0.0
5871 -1 0.0
5576 -1 0.0
931 -1 0.0
1990078 -1 0.0
98799 -1 0.0
43229 -1 0.0
61702 -1 0.0
1990752 -1 0.0
43228 -1 0.0
5879 -1 0.0
5689 -1 0.0
5739 -1 0.0
36452 -1 0.0
32997 -1 0.0
31160 -1 0.0
32432 -1 0.0
98827 -1 0.0
98651 10 1.0
44292 -1 0.0
786 68 0.8960109035990222
32161 -1 0.0
60170 -1 0.0
31984 -1 0.0
16021 -1 0.0
31976 -1 0.0
99513 30 0.9006681258390832
70775 1 1.0
98878 -1 0.0
323 -1 0.0
19898 25 0.8154705691102337
31904 -1 0.0
30125 -1 0.0
98637 -1 0.0
45239 -1 0.0
150005 -1 0.0
31226 7 1.0
42571 16 1.0
35838 -1 0.0
781 -1 0.0
5774 -1 0.0
55037 -1 0.0
30119 -1 0.0
99571 39 1.0
428 -1 0.0
44162 -1 0.0
1990228 -1 0.0
30665 -1 0.0
8024 -1 0.0
5942 -1 0.0
1905369 -1 0.0
31248 -1 0.0
8250 -1 0.0
5876 30 1.0
38037 -1 0.0
31371 -1 0.0
9295 -1 0.0
70382 -1 0.0
90533 -1 0.0
835 -1 0.0
30677 -1 0.0
98859 -1 0.0
31166 -1 0.0
31985 -1 0.0
9898 -1 0.0
97708 -1 0.0
31230 -1 0.0
98985 -1 0.0
43076 -1 0.0
45335 -1 0.0
43227 -1 0.0
9529 -1 0.0
306 25 0.8000204289425289
70160 34 1.0
43264 -1 0.0
97610 -1 0.0
30689 -1 0.0
31082 -1 0.0
42597 -1 0.0
48180 -1 0.0
5677 -1 0.0
30428 -1 0.0
42599 55 1.0
31968 -1 0.0
30055 -1 0.0
9528 -1 0.0
30139 -1 0.0
36454 -1 0.0
34705 -1 0.0
70069 -1 0.0
16459 58 0.40937015813316713
1903440 -1 0.0
98791 -1 0.0
30008 -1 0.0
39715 -1 0.0
120 -1 0.0
43527 -1 0.0
30666 57 0.777000544621122
5884 -1 0.0
44217 -1 0.0
55035 -1 0.0
42611 -1 0.0
90395 -1 0.0
8021 -1 0.0
31970 48 0.9356143581836911
35032 -1 0.0
31414 -1 0.0
9277 -1 0.0
5765 -1 0.0
70822 -1 0.0
32580 -1 0.0
5840 75 0.29248252843084643
31332 -1 0.0
19897 -1 0.0
18995 45 0.353468163369109
31469 75 0.2783141967518588
45275 -1 0.0
34518 -1 0.0
48500 -1 0.0
106068 -1 0.0
31977 -1 0.0
70161 34 0.843646484797712
99572 -1 0.0
98636 53 0.327696023106799
34702 -1 0.0
30136 -1 0.0
5881 30 1.0
1902503 -1 0.0
16610 -1 0.0
45240 -1 0.0
30662 57 0.877317098960505
16222 -1 0.0
30062 -1 0.0
8230 -1 0.0
60198 -1 0.0
1990104 -1 0.0
31594 33 1.0
30286 -1 0.0
8328 -1 0.0
71141 -1 0.0
9579 -1 0.0
502 -1 0.0
5886 -1 0.0
44309 -1 0.0
1903439 -1 0.0
31379 -1 0.0
31244 -1 0.0
43292 -1 0.0
19908 -1 0.0
30120 -1 0.0
35770 -1 0.0
30532 63 0.9334957494087943
44853 28 1.0
31519 -1 0.0
235 -1 0.0
30054 -1 0.0
30897 69 0.2299863116906689
5721 -1 0.0
45293 -1 0.0
42651 -1 0.0
30076 -1 0.0
123 1 0.9696389600627401
9503 -1 0.0
42646 -1 0.0
31256 35 0.9272927944753021
31310 -1 0.0
8278 -1 0.0
42579 -1 0.0
32279 -1 0.0
90665 -1 0.0
98644 -1 0.0
33647 -1 0.0
5929 -1 0.0
31228 -1 0.0
30173 -1 0.0
98857 -1 0.0
32806 -1 0.0
98858 -1 0.0
153 -1 0.0
45254 -1 0.0
1905354 -1 0.0
5732 -1 0.0
30863 -1 0.0
72588 -1 0.0
9527 -1 0.0
790 -1 0.0
98984 33 0.9436352190013179
30934 11 1.0
16469 -1 0.0
43230 -1 0.0
46930 -1 0.0
31009 -1 0.0
44165 42 0.6744620849187972
98892 -1 0.0
98949 -1 0.0
44732 -1 0.0
399 -1 0.0
126 -1 0.0
71754 -1 0.0
61174 -1 0.0
9516 -1 0.0
98889 -1 0.0
120111 -1 0.0
150086 -1 0.0
98999 -1 0.0
16587 -1 0.0
98553 -1 0.0
98948 8 0.9995320634989412
34364 -1 0.0
5918 -1 0.0
46658 -1 0.0
34385 -1 0.0
10009 -1 0.0
43186 -1 0.0
42627 -1 0.0
45172 -1 0.0
60076 33 0.9570043085477014
45259 -1 0.0
42709 -1 0.0
98565 -1 0.0
45263 -1 0.0
98554 -1 0.0
45252 -1 0.0
33018 -1 0.0
61850 -1 0.0
935 -1 0.0
783 -1 0.0
99522 -1 0.0
45261 -1 0.0
9506 -1 0.0
16942 -1 0.0
98888 -1 0.0
71746 -1 0.0
16007 -1 0.0
71738 -1 0.0
36056 -1 0.0
19867 -1 0.0
45111 -1 0.0
98022 -1 0.0
43073 -1 0.0
62039 -1 0.0
